source,destination,size_bytes,sha256,action,note
CHANGELOG.md,CHANGELOG.md,202,496564eaf9ea5e0f1e9518a2668070fe88bf80d2193501522835757f98912795,copy,
CITATION.cff,CITATION.cff,575,647689b2702fa50ebbc89d043855b0d152e150518c0467bf2d7478e2f6c7f158,copy,
[generated],CODE_AVAILABILITY.md,575,90d8a02115998fabd980487d8e5bb56042a69f597dbf7c3a912ee8089bcc177d,generated,
LICENSE,LICENSE,1101,5e65c4ca755bfb305f78c92bbcc4fef43509e6c6cdb5011362088d9b229766fb,copy,
README.md,README.md,2349,a7b238ac598c72b6ceb6000c00357bb5fcfc646fafc1c0b0bbcb39ffcfc1db8e,sanitized-copy,replaced placeholder: TO_BE_ADDED
configs/alpha_sensitivity/alpha_000.yaml,configurations/alpha_sensitivity/alpha_000.yaml,3475,7f3c7ee4dc8be041da938f1faebbcb5f8f4f39f5a83a5fafbcb28f171ef54c39,sanitized-copy,replaced local path for output_root; redacted embedded POSIX user path
configs/alpha_sensitivity/alpha_001.yaml,configurations/alpha_sensitivity/alpha_001.yaml,3478,dfd4c48d4542b17223b621dfa8ec2ba8f512534633e1a1b16dbcef1c930373d6,sanitized-copy,replaced local path for output_root; redacted embedded POSIX user path
configs/alpha_sensitivity/alpha_005.yaml,configurations/alpha_sensitivity/alpha_005.yaml,3478,f3e5e2e33ce00767881b7fd8af4382d6b322113a6ca8a9b6a46602b27a3bb905,sanitized-copy,replaced local path for output_root; redacted embedded POSIX user path
configs/alpha_sensitivity/alpha_010.yaml,configurations/alpha_sensitivity/alpha_010.yaml,3475,889c64cc27d737d775d1f4d1dc7939f891b1a8d177d40a12e266dcdeba821752,sanitized-copy,replaced local path for output_root; redacted embedded POSIX user path
configs/alpha_sensitivity/alpha_025.yaml,configurations/alpha_sensitivity/alpha_025.yaml,3478,ee04e9a001ee1889525be44d1b152a486321cac9acc79dda310323d180f66bc0,sanitized-copy,replaced local path for output_root; redacted embedded POSIX user path
data/README.md,data/README_data.md,254,d7039237e607e3ae4a3b8c64808140c6364c8c806c65bbe6e1cbcd5f15336f02,copy,
[generated],documentation/algorithm_specification.md,907,d637a5c2329afb194759e4b827a4d6cb69497833b1fff3d4b3642ef3b298a90c,generated,
[generated],documentation/data_dictionary.md,334,0da764847fd89248f3dcb4a5a7d393cbc40ba40429347534fc07d0b9f6364147,generated,
[generated],documentation/data_dictionary_template.csv,131,df3ba477cf81a0c47140d174b24c4aeb87f9b1f3d19b4dc563a127a1f98a56ba,generated,
[generated],documentation/model_architecture_sheet.md,654,e4c712d469281fd09825a27bff167e109c4f23d3663f66d395ca981c9c493731,generated,
[generated],documentation/pseudocode.md,1214,5f700e05243d48c3d105a871166c44c3fd4c388b81ce1296e0a39bf93fc0bd72,generated,
[generated],documentation/reproducibility_protocol.md,634,1719f4e1770f2f9be7f47c80b734020c55a8155eaaca5775c8f34f1e2158738f,generated,
environment.yml,environment.yml,131,9a355a7352922c2a22bfed3e037a0de281babebcf32b27df1bb03c1028d0e817,sanitized-copy,
[generated],manifests/run_manifest.csv,108,788fa54ab458e9f850a41fdffb057851f8777e1b25dd5c67854ca01c1561b617,generated,
release_file_list.txt,release_file_list.txt,11575,05f4da80dbf94b25effca2ce123c02f3498fb2dd74b36500ee4c8338545fdc11,copy,
requirements.txt,requirements.txt,32,c4765aa3f26233e7348c23355b237157f3f89f3144d8c49a18f030c5466b3165,copy,
paper_results/alpha_sensitivity/alpha_all_sample_metrics.csv,results/alpha_sensitivity/alpha_all_sample_metrics.csv,3875884,9d0b7da170e84327380e451a86eda435224cfdad33c7b0e5527cda2799f4fcf4,copy,
paper_results/alpha_sensitivity/alpha_input_audit.csv,results/alpha_sensitivity/alpha_input_audit.csv,4319,bc45d40662325bcaf61e62d6dcc033e042b78544da583c04a44556115f1d587f,copy,
paper_results/alpha_sensitivity/alpha_paired_tests_vs_zero.csv,results/alpha_sensitivity/alpha_paired_tests_vs_zero.csv,11005,1ee602b019427955e7bb0de2563cb69ec038353c4215322b4e272c93b05fa759,copy,
paper_results/alpha_sensitivity/alpha_rank_summary.csv,results/alpha_sensitivity/alpha_rank_summary.csv,1183,c1170e2551c8e3bc4f80e67e10dd932a8883b8c2dabe36da23f799c20108afc4,copy,
paper_results/alpha_sensitivity/alpha_seed_shape_metrics.csv,results/alpha_sensitivity/alpha_seed_shape_metrics.csv,6022,5607bb8d3c508dd0fcdbb4e59826354ff5c35e9bff3de9741cffb3f33573f769,copy,
paper_results/alpha_sensitivity/alpha_sensitivity_manuscript_table.csv,results/alpha_sensitivity/alpha_sensitivity_manuscript_table.csv,1455,1761b7671c782f302c5317dc4f4645bcfd5c0a02458152cc2f037471c534e21a,copy,
paper_results/alpha_sensitivity/alpha_sensitivity_protocol.json,results/alpha_sensitivity/alpha_sensitivity_protocol.json,629,ecdc8639335626f11abda7ed578c4b496bc2dfa81c9bd215bf168240060076e1,sanitized-copy,
paper_results/alpha_sensitivity/alpha_sensitivity_rank_long.csv,results/alpha_sensitivity/alpha_sensitivity_rank_long.csv,6892,237103b78380aca2a3763564dcdd1e3fa59d29bd2126bf970c180bc8c8209dcd,copy,
paper_results/alpha_sensitivity/alpha_summary.csv,results/alpha_sensitivity/alpha_summary.csv,2556,b7e912af739ef3e48964f6bcd3b64c64c821f4a8181c4196f82fba1405901e4f,copy,
paper_results/computational_cost/computational_cost_input_audit.csv,results/computational_cost/computational_cost_input_audit.csv,16133,3b371c2de486623cf9e6b4a032c59f5c9cbcf6006ef90f6a6582074a31d6ad17,sanitized-copy,redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path
paper_results/computational_cost/computational_cost_per_seed.csv,results/computational_cost/computational_cost_per_seed.csv,11231,62c5e1f0dc8495ec0ed02a6bdd452003d1b6b6055986f4407556d2e81449120d,sanitized-copy,redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path; redacted embedded POSIX user path
paper_results/computational_cost/computational_cost_protocol.json,results/computational_cost/computational_cost_protocol.json,725,432163c70a392d41741af749c7e0448e36d639e9efcd5fa8a547499fd60deeec,sanitized-copy,removed machine-local JSON field: project_root
paper_results/computational_cost/computational_cost_summary.csv,results/computational_cost/computational_cost_summary.csv,582,1d0d418d1fff0a1bc1393653426209becabd9a92b2301fe992a9ecc4a8fbbf0e,copy,
paper_results/computational_cost/table4_final_computational_cost.csv,results/computational_cost/table4_final_computational_cost.csv,358,60996bb7792448e02dba7bdab71d0245febe67e862e9c34fa9863204cd1ccbbc,copy,
paper_results/development/baseline/mesh_backbone_20seed_all_sample_metrics.csv,results/development/baseline/mesh_backbone_20seed_all_sample_metrics.csv,6401611,576a03d0b10d9a3023665951bc160700e7bb95823b78ba00837aa1c01cf2047b,copy,
paper_results/development/baseline/mesh_backbone_20seed_input_audit.csv,results/development/baseline/mesh_backbone_20seed_input_audit.csv,16053,6a4c6ec40defe2196a8709b29066c724fe6e61b37e609832d87810d4dad67d6a,copy,
paper_results/development/baseline/mesh_backbone_20seed_paired_seed_values.csv,results/development/baseline/mesh_backbone_20seed_paired_seed_values.csv,12777,d648c1c5238a2864fc886f2b03533a9d37125ab2e367fc497d1aca2a8df0ae05,copy,
paper_results/development/baseline/mesh_backbone_20seed_paired_tests.csv,results/development/baseline/mesh_backbone_20seed_paired_tests.csv,3393,efceda40b0b6bf357fd9930661333389c3ecd6d45bcd03f2e4b96f98ace6928e,copy,
paper_results/development/baseline/mesh_backbone_20seed_protocol.json,results/development/baseline/mesh_backbone_20seed_protocol.json,623,79f90d57c5c847ba4ea0a0bd54fb42e515e4a2ad064ae0e6c471ac3c27f60d8f,sanitized-copy,
paper_results/development/baseline/mesh_backbone_20seed_sample_wins.csv,results/development/baseline/mesh_backbone_20seed_sample_wins.csv,6919,f72e2968a8d0bc92b97ab47cb51eec4fac6a376e4c48de504a8dc52368aede2c,copy,
paper_results/development/baseline/mesh_backbone_20seed_seed_shape_metrics.csv,results/development/baseline/mesh_backbone_20seed_seed_shape_metrics.csv,10594,85cd4e290ba597b9275e78be95318de99ed606624c227242c9b5a8501a2bc0c1,copy,
paper_results/development/baseline/mesh_backbone_20seed_summary.csv,results/development/baseline/mesh_backbone_20seed_summary.csv,1247,7405625b021f1676b0de741715dde8f3a6d025eb47329185d82cf5bcc3f7fc35,copy,
paper_results/development/baseline/mesh_backbone_20seed_training_summary.csv,results/development/baseline/mesh_backbone_20seed_training_summary.csv,7249,f692d2e6ba97358b150661e56db9c0f499ccddd6c9e691ab710c52aec42730e4,copy,
paper_results/development/rd_hddm/rd_hddm_alpha001_20seed_all_sample_metrics.csv,results/development/rd_hddm/rd_hddm_alpha001_20seed_all_sample_metrics.csv,6333226,6946c03eeb6424240d300b2cfd4f2a7243cdd896f8c39d37b4305151bc8b42a2,copy,
paper_results/development/rd_hddm/rd_hddm_alpha001_20seed_paired_seed_values.csv,results/development/rd_hddm/rd_hddm_alpha001_20seed_paired_seed_values.csv,12777,8798f65c36f6ebfe5c02480ed7399a6f8207c46ac1668f72d812e736d95eddd9,copy,
paper_results/development/rd_hddm/rd_hddm_alpha001_20seed_paired_tests.csv,results/development/rd_hddm/rd_hddm_alpha001_20seed_paired_tests.csv,3860,87ecee7ad695d0666774cb45d83b509696893d09037a353ff5fdc81c0ff30b07,copy,
paper_results/development/rd_hddm/rd_hddm_alpha001_20seed_protocol.json,results/development/rd_hddm/rd_hddm_alpha001_20seed_protocol.json,699,af69c6778f7059ecf277905b54eed974c5ebab68b51183435fe8eae412fd850b,sanitized-copy,
paper_results/development/rd_hddm/rd_hddm_alpha001_20seed_sample_wins.csv,results/development/rd_hddm/rd_hddm_alpha001_20seed_sample_wins.csv,6874,529512dafb854c8854165e03333890b6054c6ba4ab3192cbc4ea150e630b86fe,copy,
paper_results/development/rd_hddm/rd_hddm_alpha001_20seed_seed_shape_metrics.csv,results/development/rd_hddm/rd_hddm_alpha001_20seed_seed_shape_metrics.csv,10359,49c238a40932897a9e2256211179cad323e20d397f3d2b5b7ac381e6252985eb,copy,
paper_results/development/rd_hddm/rd_hddm_alpha001_20seed_summary.csv,results/development/rd_hddm/rd_hddm_alpha001_20seed_summary.csv,1236,de7854d6e97dd8dc429e7fa5b8ae4fb587cb3c6bf5489ce55633f485890e3abf,copy,
paper_results/development/rd_hddm/rd_hddm_alpha001_20seed_training_summary.csv,results/development/rd_hddm/rd_hddm_alpha001_20seed_training_summary.csv,7116,48b623561bf2b1e9663b026a2ed5ad38f32af35ae6212f91e65645bce6564936,copy,
paper_results/development/rd_hddm/rd_hddm_alpha001_input_audit.csv,results/development/rd_hddm/rd_hddm_alpha001_input_audit.csv,23333,e0543ed1b54906fd2fdae86b9bcead19157b8b8eb23947e4f974ee5f6044cab4,copy,
paper_results/partition_audit/aggregate_by_dataset_method.csv,results/partition_audit/aggregate_by_dataset_method.csv,7112,e90f1b85fd6549b5d2d2eb331ec9c0395020d67ce5d284629b443ded4cedb4c3,copy,
paper_results/partition_audit/aggregate_by_seed_shape_method.csv,results/partition_audit/aggregate_by_seed_shape_method.csv,81577,67c147f5264555b9bae40ba786319213563fb6a774ada0201a49acb81f124dbb,copy,
paper_results/partition_audit/aggregate_by_split_shape_method.csv,results/partition_audit/aggregate_by_split_shape_method.csv,23337,d4208eba3abaf24f726178a8f4796b7ec7664bbd7b1a76420c700d5d5f355e07,copy,
paper_results/partition_audit/consistency_checks.json,results/partition_audit/consistency_checks.json,288,22a74518774eff4fc1a12416ac20080543d94362b38f3983fca2911296969f73,sanitized-copy,
paper_results/partition_audit/environment_manifest.json,results/partition_audit/environment_manifest.json,1237,8d2bb275e65ff13d01f3722c36de859748ae5f92baa038e1845ca07c53661dea,sanitized-copy,redacted embedded POSIX user path
paper_results/partition_audit/file_manifest.json,results/partition_audit/file_manifest.json,79446,6a9b5bebe7cf92a64ef0a6ffb980ad2262d25d11e619f882abdc56d43145d699,sanitized-copy,
paper_results/partition_audit/per_mesh_geometry_quality.csv,results/partition_audit/per_mesh_geometry_quality.csv,266549,74b78e77c051c8af2d40b7e1ed5c84ed2a86890dacd510e29c0ebb3037bc415a,copy,
paper_results/partition_audit/per_mesh_partition_quality.csv,results/partition_audit/per_mesh_partition_quality.csv,891966,b84325d1ae518e39e5aa0ae44705c6328bfcaeff06edfec366afc31a0bdd14c8,copy,
paper_results/partition_audit/regeneration_events.csv,results/partition_audit/regeneration_events.csv,264,16743c74575e5d03accaca0415efd11fc7488fcefebba1a260efdb930225267d,copy,
paper_results/partition_audit/repair_events.csv,results/partition_audit/repair_events.csv,5157,ab7741dfcf7ab6d8a4e12f40b5e5815d8290b82fe014a148523bfd7d22edd2eb,copy,
