alpha_tag,alpha,training_seed,path,status,rows,sha256
a000,0.0,41,outputs_alpha_sensitivity/a000/main/seed_0041/mesh_backbone_residual_hddm/metrics.csv,ok,400,b1d3cc4d160af3329b2f4779b94784396d2fab0aeb6e5d35a6867defd80f8e30
a000,0.0,42,outputs_alpha_sensitivity/a000/main/seed_0042/mesh_backbone_residual_hddm/metrics.csv,ok,400,0e8edcd009e4f4b86344107605b71590266ef62753ed8ac48be527f14ad1a90f
a000,0.0,43,outputs_alpha_sensitivity/a000/main/seed_0043/mesh_backbone_residual_hddm/metrics.csv,ok,400,73d278326e340e837d39c15f8e05d28d6cb17b69eba452aed0842ae821ff68d0
a000,0.0,44,outputs_alpha_sensitivity/a000/main/seed_0044/mesh_backbone_residual_hddm/metrics.csv,ok,400,0327d8d9ed20f4a8b43b57d8e62b830ab3729a09348f31714b2c4e8f5b12aff6
a000,0.0,45,outputs_alpha_sensitivity/a000/main/seed_0045/mesh_backbone_residual_hddm/metrics.csv,ok,400,68f63a4a15734a996533571fb1d72013fad2a5d3c896a62c54fc6c2ddf9c5cee
a001,0.01,41,outputs_alpha_sensitivity/a001/main/seed_0041/mesh_backbone_residual_hddm/metrics.csv,ok,400,a34bf9b8f0c958aa45abc5d34a6a2a357cb904a2ff91bc77a7ca2629896eaaab
a001,0.01,42,outputs_alpha_sensitivity/a001/main/seed_0042/mesh_backbone_residual_hddm/metrics.csv,ok,400,e374e026e85aadd9d51abb892f6dc6e46b98e296e2d50c00e369ed83ac5d560a
a001,0.01,43,outputs_alpha_sensitivity/a001/main/seed_0043/mesh_backbone_residual_hddm/metrics.csv,ok,400,37a56967a415b416b87d596f265f30099b3c05d7e625523221926cd00bd22ae5
a001,0.01,44,outputs_alpha_sensitivity/a001/main/seed_0044/mesh_backbone_residual_hddm/metrics.csv,ok,400,51d6763612f2a4ff93168f5a04dd35999f5933de51b24077cd8a9e2b17f677fe
a001,0.01,45,outputs_alpha_sensitivity/a001/main/seed_0045/mesh_backbone_residual_hddm/metrics.csv,ok,400,ca8424d88d7dcba1215279dff674903daa1f2182ef64f11ac1371f524857636f
a005,0.05,41,outputs_alpha_sensitivity/a005/main/seed_0041/mesh_backbone_residual_hddm/metrics.csv,ok,400,8da19f89cb2f7d95f834d98b42d32ed85e6d63b1fb760ed31e7924fe711315e0
a005,0.05,42,outputs_alpha_sensitivity/a005/main/seed_0042/mesh_backbone_residual_hddm/metrics.csv,ok,400,5f965bf246e6f2926fef9a34780a3dcb5bcdab3fa7753b3b1bf69d1e3be2d807
a005,0.05,43,outputs_alpha_sensitivity/a005/main/seed_0043/mesh_backbone_residual_hddm/metrics.csv,ok,400,a51ef1858b58351ce0fecb9a9c7f3ab5f447b5b301b74aa82651bcea489f4acd
a005,0.05,44,outputs_alpha_sensitivity/a005/main/seed_0044/mesh_backbone_residual_hddm/metrics.csv,ok,400,87445185310efba00d850cf9d7199fe2a60218277dfe9bf89217b9a25aa74c6a
a005,0.05,45,outputs_alpha_sensitivity/a005/main/seed_0045/mesh_backbone_residual_hddm/metrics.csv,ok,400,609c201f1670b9f3e8615625ea371d35cdb78558083b69217dc40722e5a535ea
a010,0.1,41,outputs_alpha_sensitivity/a010/main/seed_0041/mesh_backbone_residual_hddm/metrics.csv,ok,400,67cd0565d5da3dcf285b4dc2853f4987fe8a10b62bac3c42728e7fff2b604533
a010,0.1,42,outputs_alpha_sensitivity/a010/main/seed_0042/mesh_backbone_residual_hddm/metrics.csv,ok,400,b705d781e2bca9b4548362d23aeb118812f7eb2fd01d6e13ac74706afeceeda3
a010,0.1,43,outputs_alpha_sensitivity/a010/main/seed_0043/mesh_backbone_residual_hddm/metrics.csv,ok,400,2247a0d842d9f52f1111c6fe957526042eb723f205c496ee4f38cf12bf4e8aea
a010,0.1,44,outputs_alpha_sensitivity/a010/main/seed_0044/mesh_backbone_residual_hddm/metrics.csv,ok,400,a1b641f098571ff58dbd6b378001082299049a99128978f0e1c9ef383a595952
a010,0.1,45,outputs_alpha_sensitivity/a010/main/seed_0045/mesh_backbone_residual_hddm/metrics.csv,ok,400,c917d191deb14d099507b0b90d2460c807c3185d8dc641a4beff5168b9e95dee
a025,0.25,41,outputs_alpha_sensitivity/a025/main/seed_0041/mesh_backbone_residual_hddm/metrics.csv,ok,400,81be561cda22775c2c996b7137179b9fcca742d2db5b9d61df862754ce1b94e0
a025,0.25,42,outputs_alpha_sensitivity/a025/main/seed_0042/mesh_backbone_residual_hddm/metrics.csv,ok,400,ce294a6a6c8c87c7e7ee3c5b60d15d01dfbb149f69f350bf1b5ca00371d9f146
a025,0.25,43,outputs_alpha_sensitivity/a025/main/seed_0043/mesh_backbone_residual_hddm/metrics.csv,ok,400,e9697fff99dc453d33637a796f512eaac3ae8bd4055cba48db8ab2a91010e926
a025,0.25,44,outputs_alpha_sensitivity/a025/main/seed_0044/mesh_backbone_residual_hddm/metrics.csv,ok,400,1358d1e9a6360d34ff42a9b86c5c6aff71edac317eef44e52fb4a85507648a21
a025,0.25,45,outputs_alpha_sensitivity/a025/main/seed_0045/mesh_backbone_residual_hddm/metrics.csv,ok,400,efcf98ff7aaafda488f79c4542e4aeaef5ce8064f01c24a9c8c0d222019a3b5c
