alpha,alpha_tag,shape,mae,p95_abs_error,p99_abs_error,mae_rank,p95_abs_error_rank,p99_abs_error_rank,joint_rank_sum,two_shape_joint_rank_sum,overall_rank
0.01,a001,c_shape,0.06762827256688722,0.19882948738525377,0.27821045455423365,3.0,2.0,1.0,6.0,9.0,1.0
0.01,a001,two_hole,0.052897867257735244,0.1555989447304807,0.22056405281603628,1.0,1.0,1.0,3.0,9.0,1.0
0.25,a025,c_shape,0.06605228190749915,0.19752518590367538,0.2787713398881992,1.0,1.0,2.0,4.0,11.0,2.0
0.25,a025,two_hole,0.054730674488886286,0.16158672997362417,0.22998203029927256,3.0,2.0,2.0,7.0,11.0,2.0
0.05,a005,c_shape,0.06697540953136998,0.2013746678717181,0.2832708863801843,2.0,3.0,3.0,8.0,17.0,3.0
0.05,a005,two_hole,0.054660078365255396,0.1625758113436369,0.23352700445398514,2.0,3.0,4.0,9.0,17.0,3.0
0.1,a010,c_shape,0.06776433714771701,0.20692971722613546,0.29181728759238557,4.0,4.0,4.0,12.0,23.0,4.0
0.1,a010,two_hole,0.05524471902413504,0.16452861026043686,0.23298827956771984,4.0,4.0,3.0,11.0,23.0,4.0
0.0,a000,c_shape,0.07688155278896272,0.23799043647535623,0.3667637513740245,5.0,5.0,5.0,15.0,30.0,5.0
0.0,a000,two_hole,0.05679433440206518,0.17358146598741614,0.2738912949948575,5.0,5.0,5.0,15.0,30.0,5.0
