alpha,alpha_tag,training_seed,shape,mae,relative_l2,max_abs_error,p95_abs_error,p99_abs_error
0.0,a000,41,c_shape,0.06395649920710567,0.6291745319036007,0.37867780422677244,0.19639413971583713,0.29294060684321555
0.0,a000,41,two_hole,0.047144486901367265,1.0007838865225716,0.2916966442124521,0.13743914185624775,0.20378194021551865
0.0,a000,42,c_shape,0.08251368262413537,0.8615465271756453,0.46708615006529725,0.23146702408549247,0.3535113092292707
0.0,a000,42,two_hole,0.06051889886335135,1.3101339176120488,0.3401032289316936,0.1711346133101148,0.24920679660900086
0.0,a000,43,c_shape,0.07133805805414606,0.7220898504898617,0.42018809790046135,0.21526227001543397,0.3230725734793131
0.0,a000,43,two_hole,0.05431237091951542,1.2118392360413028,0.38569291863088323,0.16465600299585428,0.25888534451013284
0.0,a000,44,c_shape,0.09370032752842183,1.0350782004090262,0.6698647640346604,0.30853006718682235,0.5031660645761038
0.0,a000,44,two_hole,0.06659208845506966,1.605938225737405,0.5497202162854364,0.2175908362903514,0.3804947674525134
0.0,a000,45,c_shape,0.07289919653100461,0.7786489441895372,0.4728313576702567,0.23829868137319513,0.36112820274221946
0.0,a000,45,two_hole,0.055403826871022216,1.2487102687157499,0.4008688317715905,0.1770867354845125,0.2770876261871216
0.01,a001,41,c_shape,0.06360972127608341,0.6351381958180237,0.34042707445451015,0.193251327905332,0.2742848896209508
0.01,a001,41,two_hole,0.04721847031091838,1.0298800254888514,0.2707877886427013,0.14311932715674383,0.2086710260038175
0.01,a001,42,c_shape,0.0694375183306292,0.7095904737740985,0.3646080105642852,0.2050008828360923,0.2882553849838287
0.01,a001,42,two_hole,0.05416258274817274,1.183711342422754,0.30428777784590233,0.16112732090309412,0.23136598252987484
0.01,a001,43,c_shape,0.0640496956151202,0.5961039448214381,0.3360765757301124,0.19070464122921638,0.27021542819254674
0.01,a001,43,two_hole,0.055732579892538714,1.1805310505579798,0.29562761035057517,0.15918951260506267,0.22908878406572009
0.01,a001,44,c_shape,0.0659446194836701,0.626330118228549,0.35918311053931745,0.20462946500091417,0.2922220612185525
0.01,a001,44,two_hole,0.04849533677235428,1.0613417781164618,0.2817634993557658,0.15094237985329792,0.21678422597560273
0.01,a001,45,c_shape,0.07509980812893319,0.6946629044729646,0.32149840683399816,0.20056111995471398,0.2660745087552895
0.01,a001,45,two_hole,0.0588803665646921,1.2275864073566511,0.2629357133320354,0.16361618313420498,0.2169102455051662
0.05,a005,41,c_shape,0.06489339165331001,0.6279952565344475,0.3470110471609405,0.2001927530976382,0.28088915797423
0.05,a005,41,two_hole,0.04727132711818086,1.0019738150183968,0.2767208705845189,0.14240671572606617,0.209770017894348
0.05,a005,42,c_shape,0.06876364458395166,0.7113307964856594,0.3431550429428535,0.20220788010379423,0.27729723056345873
0.05,a005,42,two_hole,0.052896607895127463,1.1695456581322454,0.2939719305028757,0.16031442512167307,0.22834358258687054
0.05,a005,43,c_shape,0.06999354885548376,0.70109267720234,0.3779989203205332,0.21118177830491203,0.3029599373607226
0.05,a005,43,two_hole,0.06259368475135334,1.360010255687173,0.35667886623773026,0.18404445116472853,0.2739819575441806
0.05,a005,44,c_shape,0.06378973182313351,0.6129012033352791,0.34491206688376763,0.20014025734457788,0.27932767568072764
0.05,a005,44,two_hole,0.05031259449369612,1.1074253277304318,0.2865276962929056,0.1557475856482879,0.2205466403422726
0.05,a005,45,c_shape,0.06743673074097095,0.6264436699338769,0.34477397771173857,0.1931506705076682,0.2758804303217824
0.05,a005,45,two_hole,0.06022617756791919,1.2718154357100995,0.298169338871985,0.17036587905742884,0.23499282390225396
0.1,a010,41,c_shape,0.06824280395687742,0.6725789371199059,0.34164657685296335,0.20107819294259927,0.27726850495500044
0.1,a010,41,two_hole,0.05105092149271585,1.0828011721297741,0.2686734930929833,0.14748034589554196,0.20963643729607395
0.1,a010,42,c_shape,0.08275384405463068,0.8786633177324977,0.40797877143966615,0.24740942466790514,0.3379773522161325
0.1,a010,42,two_hole,0.06826625631998746,1.5376146855068402,0.36567383384920504,0.20859235979414625,0.2904768119216412
0.1,a010,43,c_shape,0.06270203009227572,0.6223161477506405,0.35607785241067175,0.19860151211566784,0.28748191071637386
0.1,a010,43,two_hole,0.052619612952324604,1.116577738578955,0.2992702879242506,0.15719374811481984,0.23071426226949943
0.1,a010,44,c_shape,0.06035516682948947,0.5725206614806728,0.33287837352069344,0.19232080999792964,0.2703940861491891
0.1,a010,44,two_hole,0.048007856168012016,1.045719114919568,0.27265694117510064,0.1488123377607389,0.2097576556462991
0.1,a010,45,c_shape,0.06476784080531177,0.5885591371734756,0.35505250112313663,0.1952386464065754,0.28596458392523194
0.1,a010,45,two_hole,0.05627894818763522,1.1673928612390185,0.28777109986729554,0.16056425973693728,0.22435623070508548
0.25,a025,41,c_shape,0.06699807665953068,0.6365190826746115,0.33049770924773836,0.19643472642617954,0.2720431656605385
0.25,a025,41,two_hole,0.05179635942869188,1.0898525329828523,0.2655916188679748,0.14758772301220932,0.20971181032181785
0.25,a025,42,c_shape,0.0680761002034208,0.6956118257573146,0.35573058012509134,0.20205451670835298,0.28355192356449543
0.25,a025,42,two_hole,0.05860864759273542,1.2834637075846593,0.31526006684753155,0.17506360477934269,0.24559590084907362
0.25,a025,43,c_shape,0.06355960691068523,0.6284206048275656,0.3583284845198796,0.19868101462083168,0.2867106794861297
0.25,a025,43,two_hole,0.05479888800862355,1.1993904372231194,0.32286373717351124,0.1637089518462834,0.24535466741853892
0.25,a025,44,c_shape,0.06371669646158239,0.5919524859937261,0.32713770027770805,0.19444575701871422,0.2682248457454442
0.25,a025,44,two_hole,0.04922628042262569,1.062290514287318,0.2686847927252893,0.14948092072394015,0.20883247779099015
0.25,a025,45,c_shape,0.0679109293022767,0.6251924601331686,0.3572369407402175,0.19600991474429855,0.2833260849843882
0.25,a025,45,two_hole,0.05922319699175489,1.2663566831874493,0.3089793906265515,0.1720924495063453,0.2404152951159422
