alpha,alpha_tag,shape,mae_mean,mae_std,mae_count,relative_l2_mean,max_abs_error_mean,p95_abs_error_mean,p99_abs_error_mean
0.0,a000,c_shape,0.0768815527889627,0.0114917206669739,5,0.8053076108335343,0.4817296347794896,0.2379904364753562,0.3667637513740245
0.01,a001,c_shape,0.0676282725668872,0.0047667302490727,5,0.6523651274230148,0.3443586356244447,0.1988294873852537,0.2782104545542336
0.05,a005,c_shape,0.0669754095313699,0.002598225728588,5,0.6559527206983206,0.3515702110039667,0.2013746678717181,0.2832708863801843
0.1,a010,c_shape,0.067764337147717,0.0088658896290502,5,0.6669276402514386,0.3587268150694263,0.2069297172261354,0.2918172875923855
0.25,a025,c_shape,0.0660522819074991,0.0022423941647773,5,0.6355392918772773,0.345786282982127,0.1975251859036753,0.2787713398881992
0.0,a000,two_hole,0.0567943344020651,0.0072643233617929,5,1.2754811069258156,0.3936163679664112,0.1735814659874161,0.2738912949948575
0.01,a001,two_hole,0.0528978672577352,0.004926033478003,5,1.1366101207885395,0.283080477905396,0.1555989447304807,0.2205640528160362
0.05,a005,two_hole,0.0546600783652553,0.0065293119799687,5,1.182154098455669,0.302413740498003,0.1625758113436369,0.2335270044539851
0.1,a010,two_hole,0.055244719024135,0.0078657702599783,5,1.1900211144748312,0.298809131181767,0.1645286102604368,0.2329882795677198
0.25,a025,two_hole,0.0547306744888862,0.0043050739199925,5,1.1802707750530796,0.2962759212481717,0.1615867299736241,0.2299820302992725
