alpha,shape,training_seed,metric,value
0.0,c_shape,41,mae,0.0639564992071056
0.0,two_hole,41,mae,0.0471444869013672
0.0,c_shape,42,mae,0.0825136826241353
0.0,two_hole,42,mae,0.0605188988633513
0.0,c_shape,43,mae,0.071338058054146
0.0,two_hole,43,mae,0.0543123709195154
0.0,c_shape,44,mae,0.0937003275284218
0.0,two_hole,44,mae,0.0665920884550696
0.0,c_shape,45,mae,0.0728991965310046
0.0,two_hole,45,mae,0.0554038268710222
0.01,c_shape,41,mae,0.0636097212760834
0.01,two_hole,41,mae,0.0472184703109183
0.01,c_shape,42,mae,0.0694375183306292
0.01,two_hole,42,mae,0.0541625827481727
0.01,c_shape,43,mae,0.0640496956151202
0.01,two_hole,43,mae,0.0557325798925387
0.01,c_shape,44,mae,0.0659446194836701
0.01,two_hole,44,mae,0.0484953367723542
0.01,c_shape,45,mae,0.0750998081289331
0.01,two_hole,45,mae,0.0588803665646921
0.05,c_shape,41,mae,0.06489339165331
0.05,two_hole,41,mae,0.0472713271181808
0.05,c_shape,42,mae,0.0687636445839516
0.05,two_hole,42,mae,0.0528966078951274
0.05,c_shape,43,mae,0.0699935488554837
0.05,two_hole,43,mae,0.0625936847513533
0.05,c_shape,44,mae,0.0637897318231335
0.05,two_hole,44,mae,0.0503125944936961
0.05,c_shape,45,mae,0.0674367307409709
0.05,two_hole,45,mae,0.0602261775679191
0.1,c_shape,41,mae,0.0682428039568774
0.1,two_hole,41,mae,0.0510509214927158
0.1,c_shape,42,mae,0.0827538440546306
0.1,two_hole,42,mae,0.0682662563199874
0.1,c_shape,43,mae,0.0627020300922757
0.1,two_hole,43,mae,0.0526196129523246
0.1,c_shape,44,mae,0.0603551668294894
0.1,two_hole,44,mae,0.048007856168012
0.1,c_shape,45,mae,0.0647678408053117
0.1,two_hole,45,mae,0.0562789481876352
0.25,c_shape,41,mae,0.0669980766595306
0.25,two_hole,41,mae,0.0517963594286918
0.25,c_shape,42,mae,0.0680761002034208
0.25,two_hole,42,mae,0.0586086475927354
0.25,c_shape,43,mae,0.0635596069106852
0.25,two_hole,43,mae,0.0547988880086235
0.25,c_shape,44,mae,0.0637166964615823
0.25,two_hole,44,mae,0.0492262804226256
0.25,c_shape,45,mae,0.0679109293022767
0.25,two_hole,45,mae,0.0592231969917548
0.0,c_shape,41,p95_abs_error,0.1963941397158371
0.0,two_hole,41,p95_abs_error,0.1374391418562477
0.0,c_shape,42,p95_abs_error,0.2314670240854924
0.0,two_hole,42,p95_abs_error,0.1711346133101148
0.0,c_shape,43,p95_abs_error,0.2152622700154339
0.0,two_hole,43,p95_abs_error,0.1646560029958542
0.0,c_shape,44,p95_abs_error,0.3085300671868223
0.0,two_hole,44,p95_abs_error,0.2175908362903514
0.0,c_shape,45,p95_abs_error,0.2382986813731951
0.0,two_hole,45,p95_abs_error,0.1770867354845125
0.01,c_shape,41,p95_abs_error,0.193251327905332
0.01,two_hole,41,p95_abs_error,0.1431193271567438
0.01,c_shape,42,p95_abs_error,0.2050008828360923
0.01,two_hole,42,p95_abs_error,0.1611273209030941
0.01,c_shape,43,p95_abs_error,0.1907046412292163
0.01,two_hole,43,p95_abs_error,0.1591895126050626
0.01,c_shape,44,p95_abs_error,0.2046294650009141
0.01,two_hole,44,p95_abs_error,0.1509423798532979
0.01,c_shape,45,p95_abs_error,0.2005611199547139
0.01,two_hole,45,p95_abs_error,0.1636161831342049
0.05,c_shape,41,p95_abs_error,0.2001927530976382
0.05,two_hole,41,p95_abs_error,0.1424067157260661
0.05,c_shape,42,p95_abs_error,0.2022078801037942
0.05,two_hole,42,p95_abs_error,0.160314425121673
0.05,c_shape,43,p95_abs_error,0.211181778304912
0.05,two_hole,43,p95_abs_error,0.1840444511647285
0.05,c_shape,44,p95_abs_error,0.2001402573445778
0.05,two_hole,44,p95_abs_error,0.1557475856482879
0.05,c_shape,45,p95_abs_error,0.1931506705076682
0.05,two_hole,45,p95_abs_error,0.1703658790574288
0.1,c_shape,41,p95_abs_error,0.2010781929425992
0.1,two_hole,41,p95_abs_error,0.1474803458955419
0.1,c_shape,42,p95_abs_error,0.2474094246679051
0.1,two_hole,42,p95_abs_error,0.2085923597941462
0.1,c_shape,43,p95_abs_error,0.1986015121156678
0.1,two_hole,43,p95_abs_error,0.1571937481148198
0.1,c_shape,44,p95_abs_error,0.1923208099979296
0.1,two_hole,44,p95_abs_error,0.1488123377607389
0.1,c_shape,45,p95_abs_error,0.1952386464065754
0.1,two_hole,45,p95_abs_error,0.1605642597369372
0.25,c_shape,41,p95_abs_error,0.1964347264261795
0.25,two_hole,41,p95_abs_error,0.1475877230122093
0.25,c_shape,42,p95_abs_error,0.2020545167083529
0.25,two_hole,42,p95_abs_error,0.1750636047793426
0.25,c_shape,43,p95_abs_error,0.1986810146208316
0.25,two_hole,43,p95_abs_error,0.1637089518462834
0.25,c_shape,44,p95_abs_error,0.1944457570187142
0.25,two_hole,44,p95_abs_error,0.1494809207239401
0.25,c_shape,45,p95_abs_error,0.1960099147442985
0.25,two_hole,45,p95_abs_error,0.1720924495063453
0.0,c_shape,41,p99_abs_error,0.2929406068432155
0.0,two_hole,41,p99_abs_error,0.2037819402155186
0.0,c_shape,42,p99_abs_error,0.3535113092292707
0.0,two_hole,42,p99_abs_error,0.2492067966090008
0.0,c_shape,43,p99_abs_error,0.3230725734793131
0.0,two_hole,43,p99_abs_error,0.2588853445101328
0.0,c_shape,44,p99_abs_error,0.5031660645761038
0.0,two_hole,44,p99_abs_error,0.3804947674525134
0.0,c_shape,45,p99_abs_error,0.3611282027422194
0.0,two_hole,45,p99_abs_error,0.2770876261871216
0.01,c_shape,41,p99_abs_error,0.2742848896209508
0.01,two_hole,41,p99_abs_error,0.2086710260038175
0.01,c_shape,42,p99_abs_error,0.2882553849838287
0.01,two_hole,42,p99_abs_error,0.2313659825298748
0.01,c_shape,43,p99_abs_error,0.2702154281925467
0.01,two_hole,43,p99_abs_error,0.22908878406572
0.01,c_shape,44,p99_abs_error,0.2922220612185525
0.01,two_hole,44,p99_abs_error,0.2167842259756027
0.01,c_shape,45,p99_abs_error,0.2660745087552895
0.01,two_hole,45,p99_abs_error,0.2169102455051662
0.05,c_shape,41,p99_abs_error,0.28088915797423
0.05,two_hole,41,p99_abs_error,0.209770017894348
0.05,c_shape,42,p99_abs_error,0.2772972305634587
0.05,two_hole,42,p99_abs_error,0.2283435825868705
0.05,c_shape,43,p99_abs_error,0.3029599373607226
0.05,two_hole,43,p99_abs_error,0.2739819575441806
0.05,c_shape,44,p99_abs_error,0.2793276756807276
0.05,two_hole,44,p99_abs_error,0.2205466403422726
0.05,c_shape,45,p99_abs_error,0.2758804303217824
0.05,two_hole,45,p99_abs_error,0.2349928239022539
0.1,c_shape,41,p99_abs_error,0.2772685049550004
0.1,two_hole,41,p99_abs_error,0.2096364372960739
0.1,c_shape,42,p99_abs_error,0.3379773522161325
0.1,two_hole,42,p99_abs_error,0.2904768119216412
0.1,c_shape,43,p99_abs_error,0.2874819107163738
0.1,two_hole,43,p99_abs_error,0.2307142622694994
0.1,c_shape,44,p99_abs_error,0.2703940861491891
0.1,two_hole,44,p99_abs_error,0.2097576556462991
0.1,c_shape,45,p99_abs_error,0.2859645839252319
0.1,two_hole,45,p99_abs_error,0.2243562307050854
0.25,c_shape,41,p99_abs_error,0.2720431656605385
0.25,two_hole,41,p99_abs_error,0.2097118103218178
0.25,c_shape,42,p99_abs_error,0.2835519235644954
0.25,two_hole,42,p99_abs_error,0.2455959008490736
0.25,c_shape,43,p99_abs_error,0.2867106794861297
0.25,two_hole,43,p99_abs_error,0.2453546674185389
0.25,c_shape,44,p99_abs_error,0.2682248457454442
0.25,two_hole,44,p99_abs_error,0.2088324777909901
0.25,c_shape,45,p99_abs_error,0.2833260849843882
0.25,two_hole,45,p99_abs_error,0.2404152951159422
