alpha,alpha_tag,shape,mae_mean,mae_std,mae_count,relative_l2_mean,relative_l2_std,relative_l2_count,max_abs_error_mean,max_abs_error_std,max_abs_error_count,p95_abs_error_mean,p95_abs_error_std,p95_abs_error_count,p99_abs_error_mean,p99_abs_error_std,p99_abs_error_count
0.0,a000,c_shape,0.07688155278896272,0.011491720666973935,5,0.8053076108335343,0.15379863554530887,5,0.48172963477948966,0.11191009603879137,5,0.23799043647535623,0.04261839649661634,5,0.3667637513740245,0.08088843145392247,5
0.0,a000,two_hole,0.05679433440206518,0.00726432336179298,5,1.2754811069258156,0.2183049776500366,5,0.3936163679664112,0.09712759247512998,5,0.17358146598741614,0.028900822479424125,5,0.2738912949948575,0.06543000365124439,5
0.01,a001,c_shape,0.06762827256688722,0.004766730249072769,5,0.6523651274230148,0.04796809291699968,5,0.3443586356244447,0.017581538553506488,5,0.19882948738525377,0.006554643425677787,5,0.27821045455423365,0.01144374759044636,5
0.01,a001,two_hole,0.052897867257735244,0.004926033478003061,5,1.1366101207885397,0.08585000658161378,5,0.28308047790539603,0.017072172422460962,5,0.1555989447304807,0.008443276668926972,5,0.22056405281603628,0.009466179456185433,5
0.05,a005,c_shape,0.06697540953136998,0.002598225728588051,5,0.6559527206983206,0.046395538518929906,5,0.3515702110039667,0.01483743049412228,5,0.2013746678717181,0.00646970791842925,5,0.2832708863801843,0.011171209355997922,5
0.05,a005,two_hole,0.054660078365255396,0.006529311979968778,5,1.1821540984556693,0.13953517884788083,5,0.30241374049800307,0.031410479690633146,5,0.1625758113436369,0.015653422968918387,5,0.23352700445398514,0.024487261899326023,5
0.1,a010,c_shape,0.06776433714771701,0.008865889629050251,5,0.6669276402514386,0.1244070129183961,5,0.3587268150694263,0.02918111230089064,5,0.20692971722613546,0.022870873172467575,5,0.29181728759238557,0.026713394745177553,5
0.1,a010,two_hole,0.05524471902413504,0.007865770259978306,5,1.1900211144748312,0.19940313503202242,5,0.298809131181767,0.039322490348425984,5,0.16452861026043686,0.02524269617076373,5,0.23298827956771984,0.0334274782166771,5
0.25,a025,c_shape,0.06605228190749915,0.002242394164777374,5,0.6355392918772773,0.03764044233387066,5,0.345786282982127,0.015562965269265693,5,0.19752518590367538,0.0029503732127324767,5,0.2787713398881992,0.008110635973361143,5
0.25,a025,two_hole,0.054730674488886286,0.004305073919992595,5,1.1802707750530796,0.10064781022793055,5,0.2962759212481717,0.027071593321184657,5,0.16158672997362417,0.012639451497211797,5,0.22998203029927256,0.019020707988376424,5
