condition,training_seed,checkpoint,checkpoint_sha256,config,config_sha256,model_context_keys
mesh_backbone_control,41,private-source://routeA_experiments/outputs_mesh_backbone_control/main/seed_0041/mesh_backbone_residual_hddm/best_model.pt,361b78e35495ce05a350944df623b5a5f8d7164565117dd33b4c77c909348aed,private-source://routeA_experiments/configs/routeA_mesh_backbone_control.yaml,12074d41459b2f0209d8d3decb0f7045dbc4aae987e8777a4914fde72ae3e4f9,"checkpoint_path,config,model_name,training_seed"
mesh_backbone_control,42,private-source://routeA_experiments/outputs_mesh_backbone_control/main/seed_0042/mesh_backbone_residual_hddm/best_model.pt,b0c830e316baa9eadb7a26c231d61473f8a17e9de315cee6eafde4123953f5eb,private-source://routeA_experiments/configs/routeA_mesh_backbone_control.yaml,12074d41459b2f0209d8d3decb0f7045dbc4aae987e8777a4914fde72ae3e4f9,"checkpoint_path,config,model_name,training_seed"
mesh_backbone_control,43,private-source://routeA_experiments/outputs_mesh_backbone_control/main/seed_0043/mesh_backbone_residual_hddm/best_model.pt,6fe98417b71abcc80088fe7363c2d7a0b771c70005eae226cd04db2e653ceffe,private-source://routeA_experiments/configs/routeA_mesh_backbone_control.yaml,12074d41459b2f0209d8d3decb0f7045dbc4aae987e8777a4914fde72ae3e4f9,"checkpoint_path,config,model_name,training_seed"
mesh_backbone_control,44,private-source://routeA_experiments/outputs_mesh_backbone_control/main/seed_0044/mesh_backbone_residual_hddm/best_model.pt,a94b0f04d78c55410513fa6d131b5a1c93c0231d2289bf3d39ae8ff8e4aa7e0e,private-source://routeA_experiments/configs/routeA_mesh_backbone_control.yaml,12074d41459b2f0209d8d3decb0f7045dbc4aae987e8777a4914fde72ae3e4f9,"checkpoint_path,config,model_name,training_seed"
mesh_backbone_control,45,private-source://routeA_experiments/outputs_mesh_backbone_control/main/seed_0045/mesh_backbone_residual_hddm/best_model.pt,a6081d2ef70b17eaf3c803ab229ad4288879bbcd2213fb7ad269fd38bf41514d,private-source://routeA_experiments/configs/routeA_mesh_backbone_control.yaml,12074d41459b2f0209d8d3decb0f7045dbc4aae987e8777a4914fde72ae3e4f9,"checkpoint_path,config,model_name,training_seed"
mesh_backbone_control,46,private-source://routeA_experiments/outputs_mesh_backbone_control/main/seed_0046/mesh_backbone_residual_hddm/best_model.pt,d4f84430dd53c26b537e758eb1c8168a95af88020d65afcce8392e95bf4c1680,private-source://routeA_experiments/configs/routeA_mesh_backbone_control.yaml,12074d41459b2f0209d8d3decb0f7045dbc4aae987e8777a4914fde72ae3e4f9,"checkpoint_path,config,model_name,training_seed"
mesh_backbone_control,47,private-source://routeA_experiments/outputs_mesh_backbone_control/main/seed_0047/mesh_backbone_residual_hddm/best_model.pt,5b991606d9acb3fcfd6800af521971fd2437a41b4da2ddf7b11e31ce33d55341,private-source://routeA_experiments/configs/routeA_mesh_backbone_control.yaml,12074d41459b2f0209d8d3decb0f7045dbc4aae987e8777a4914fde72ae3e4f9,"checkpoint_path,config,model_name,training_seed"
mesh_backbone_control,48,private-source://routeA_experiments/outputs_mesh_backbone_control/main/seed_0048/mesh_backbone_residual_hddm/best_model.pt,6e78f9d3705bc7549bb4250530d6df7846b13dd8e967d3f77b0455d7edc4bf58,private-source://routeA_experiments/configs/routeA_mesh_backbone_control.yaml,12074d41459b2f0209d8d3decb0f7045dbc4aae987e8777a4914fde72ae3e4f9,"checkpoint_path,config,model_name,training_seed"
mesh_backbone_control,49,private-source://routeA_experiments/outputs_mesh_backbone_control/main/seed_0049/mesh_backbone_residual_hddm/best_model.pt,5d030760c966ac8e242ba5c8818ce5fa9445af6ad66c580bc6e49c23bc24b84e,private-source://routeA_experiments/configs/routeA_mesh_backbone_control.yaml,12074d41459b2f0209d8d3decb0f7045dbc4aae987e8777a4914fde72ae3e4f9,"checkpoint_path,config,model_name,training_seed"
mesh_backbone_control,50,private-source://routeA_experiments/outputs_mesh_backbone_control/main/seed_0050/mesh_backbone_residual_hddm/best_model.pt,1efbe2c6a88cce83dc4dad9f1e4f30be5cece697b4a01870f265e48910e5dbf5,private-source://routeA_experiments/configs/routeA_mesh_backbone_control.yaml,12074d41459b2f0209d8d3decb0f7045dbc4aae987e8777a4914fde72ae3e4f9,"checkpoint_path,config,model_name,training_seed"
mesh_backbone_control,51,private-source://routeA_experiments/outputs_mesh_backbone_control/main/seed_0051/mesh_backbone_residual_hddm/best_model.pt,be7eca32473ab9440c9f8b9248c9b7791d2c78679d56e8a52f8736823e5b09f7,private-source://routeA_experiments/configs/routeA_mesh_backbone_control.yaml,12074d41459b2f0209d8d3decb0f7045dbc4aae987e8777a4914fde72ae3e4f9,"checkpoint_path,config,model_name,training_seed"
mesh_backbone_control,52,private-source://routeA_experiments/outputs_mesh_backbone_control/main/seed_0052/mesh_backbone_residual_hddm/best_model.pt,b19d4354b7a0b6fe7f7f979e7a63b3bdec5bff1116027eac375dee2a52cdaa77,private-source://routeA_experiments/configs/routeA_mesh_backbone_control.yaml,12074d41459b2f0209d8d3decb0f7045dbc4aae987e8777a4914fde72ae3e4f9,"checkpoint_path,config,model_name,training_seed"
mesh_backbone_control,53,private-source://routeA_experiments/outputs_mesh_backbone_control/main/seed_0053/mesh_backbone_residual_hddm/best_model.pt,7fbb4d8803b5759c38f35bb4db6ab31c90f982beab1e96b5acb30b17b24930e2,private-source://routeA_experiments/configs/routeA_mesh_backbone_control.yaml,12074d41459b2f0209d8d3decb0f7045dbc4aae987e8777a4914fde72ae3e4f9,"checkpoint_path,config,model_name,training_seed"
mesh_backbone_control,54,private-source://routeA_experiments/outputs_mesh_backbone_control/main/seed_0054/mesh_backbone_residual_hddm/best_model.pt,62b967ef2e6ffcd090cce0ba42d08c8a52c8eccd0388934c0e531709a03d7b5f,private-source://routeA_experiments/configs/routeA_mesh_backbone_control.yaml,12074d41459b2f0209d8d3decb0f7045dbc4aae987e8777a4914fde72ae3e4f9,"checkpoint_path,config,model_name,training_seed"
mesh_backbone_control,55,private-source://routeA_experiments/outputs_mesh_backbone_control/main/seed_0055/mesh_backbone_residual_hddm/best_model.pt,5cb8e37581ae6eeda69c3feffd49c2c4265f378ba37138376231188dd95228ad,private-source://routeA_experiments/configs/routeA_mesh_backbone_control.yaml,12074d41459b2f0209d8d3decb0f7045dbc4aae987e8777a4914fde72ae3e4f9,"checkpoint_path,config,model_name,training_seed"
mesh_backbone_control,56,private-source://routeA_experiments/outputs_mesh_backbone_control/main/seed_0056/mesh_backbone_residual_hddm/best_model.pt,d44d2228e5a8f76f2597e3b1e73dbadae2334f24f99aba4936b0df30fbce5439,private-source://routeA_experiments/configs/routeA_mesh_backbone_control.yaml,12074d41459b2f0209d8d3decb0f7045dbc4aae987e8777a4914fde72ae3e4f9,"checkpoint_path,config,model_name,training_seed"
mesh_backbone_control,57,private-source://routeA_experiments/outputs_mesh_backbone_control/main/seed_0057/mesh_backbone_residual_hddm/best_model.pt,c22361a5c25113bd776218c14726dc116fdb21be5aef9090b7884930714f163b,private-source://routeA_experiments/configs/routeA_mesh_backbone_control.yaml,12074d41459b2f0209d8d3decb0f7045dbc4aae987e8777a4914fde72ae3e4f9,"checkpoint_path,config,model_name,training_seed"
mesh_backbone_control,58,private-source://routeA_experiments/outputs_mesh_backbone_control/main/seed_0058/mesh_backbone_residual_hddm/best_model.pt,2bedc30368ca71b6443f287d209c2d10f28640ca8310318ed74d1b9d8ed1580b,private-source://routeA_experiments/configs/routeA_mesh_backbone_control.yaml,12074d41459b2f0209d8d3decb0f7045dbc4aae987e8777a4914fde72ae3e4f9,"checkpoint_path,config,model_name,training_seed"
mesh_backbone_control,59,private-source://routeA_experiments/outputs_mesh_backbone_control/main/seed_0059/mesh_backbone_residual_hddm/best_model.pt,f8399b980a1508dcf3a555438df1357477702ced9a27768e86f82a20f3ec308a,private-source://routeA_experiments/configs/routeA_mesh_backbone_control.yaml,12074d41459b2f0209d8d3decb0f7045dbc4aae987e8777a4914fde72ae3e4f9,"checkpoint_path,config,model_name,training_seed"
mesh_backbone_control,60,private-source://routeA_experiments/outputs_mesh_backbone_control/main/seed_0060/mesh_backbone_residual_hddm/best_model.pt,13c9d46b56c88fe26cbe53f0e6107de2cb8b0cd369009f5878221c1a4627da99,private-source://routeA_experiments/configs/routeA_mesh_backbone_control.yaml,12074d41459b2f0209d8d3decb0f7045dbc4aae987e8777a4914fde72ae3e4f9,"checkpoint_path,config,model_name,training_seed"
rd_hddm_alpha001,41,private-source://routeA_experiments/outputs_rd_hddm_final_20seed/main/seed_0041/mesh_backbone_residual_hddm/best_model.pt,de353603ec271df2ebb4ee526798cf07b5d794c0053fa83c689ef0b0b5037f5e,private-source://routeA_experiments/configs/recalculation_final_a001.yaml,886878a980e8ac3669bb6465eb6bc862b133a46fb0ec8a743d61032f5c8e0dff,"checkpoint_path,config,model_name,training_seed"
rd_hddm_alpha001,42,private-source://routeA_experiments/outputs_rd_hddm_final_20seed/main/seed_0042/mesh_backbone_residual_hddm/best_model.pt,2b80961717304dd5f6b2069f427005cb2f954265cfbeb148b994d3cfaf57fe78,private-source://routeA_experiments/configs/recalculation_final_a001.yaml,886878a980e8ac3669bb6465eb6bc862b133a46fb0ec8a743d61032f5c8e0dff,"checkpoint_path,config,model_name,training_seed"
rd_hddm_alpha001,43,private-source://routeA_experiments/outputs_rd_hddm_final_20seed/main/seed_0043/mesh_backbone_residual_hddm/best_model.pt,bc1e2bd72257f1c9df98b7b86e917fa7c64fe7a3f86d61bbc60a025eabbbefb3,private-source://routeA_experiments/configs/recalculation_final_a001.yaml,886878a980e8ac3669bb6465eb6bc862b133a46fb0ec8a743d61032f5c8e0dff,"checkpoint_path,config,model_name,training_seed"
rd_hddm_alpha001,44,private-source://routeA_experiments/outputs_rd_hddm_final_20seed/main/seed_0044/mesh_backbone_residual_hddm/best_model.pt,117f9700bd37dd0db0be329ac6289d06cea0327ac55e7ac9b7e8920a4894647e,private-source://routeA_experiments/configs/recalculation_final_a001.yaml,886878a980e8ac3669bb6465eb6bc862b133a46fb0ec8a743d61032f5c8e0dff,"checkpoint_path,config,model_name,training_seed"
rd_hddm_alpha001,45,private-source://routeA_experiments/outputs_rd_hddm_final_20seed/main/seed_0045/mesh_backbone_residual_hddm/best_model.pt,748fb9d002671a801db77b4ba9cdb80087eab22e6d183daee8ca51ad651b2f62,private-source://routeA_experiments/configs/recalculation_final_a001.yaml,886878a980e8ac3669bb6465eb6bc862b133a46fb0ec8a743d61032f5c8e0dff,"checkpoint_path,config,model_name,training_seed"
rd_hddm_alpha001,46,private-source://routeA_experiments/outputs_rd_hddm_final_20seed/main/seed_0046/mesh_backbone_residual_hddm/best_model.pt,15f98727ce1a0ffbb323161ef95958b1982a32f0c2979499d297dc537e3dabd9,private-source://routeA_experiments/configs/recalculation_final_a001.yaml,886878a980e8ac3669bb6465eb6bc862b133a46fb0ec8a743d61032f5c8e0dff,"checkpoint_path,config,model_name,training_seed"
rd_hddm_alpha001,47,private-source://routeA_experiments/outputs_rd_hddm_final_20seed/main/seed_0047/mesh_backbone_residual_hddm/best_model.pt,28e7e5fa59139d917d35aec029e0b88c1ebce613dd66e518120094190262ba91,private-source://routeA_experiments/configs/recalculation_final_a001.yaml,886878a980e8ac3669bb6465eb6bc862b133a46fb0ec8a743d61032f5c8e0dff,"checkpoint_path,config,model_name,training_seed"
rd_hddm_alpha001,48,private-source://routeA_experiments/outputs_rd_hddm_final_20seed/main/seed_0048/mesh_backbone_residual_hddm/best_model.pt,2b29136aac1d14d561f36f80fed6bfbf3f04bbf580fd8676cc793773592cf9c9,private-source://routeA_experiments/configs/recalculation_final_a001.yaml,886878a980e8ac3669bb6465eb6bc862b133a46fb0ec8a743d61032f5c8e0dff,"checkpoint_path,config,model_name,training_seed"
rd_hddm_alpha001,49,private-source://routeA_experiments/outputs_rd_hddm_final_20seed/main/seed_0049/mesh_backbone_residual_hddm/best_model.pt,cd64ea635f567a89e506b12c17578f53f7d8f80358bdb20a9ff3da5c50662c71,private-source://routeA_experiments/configs/recalculation_final_a001.yaml,886878a980e8ac3669bb6465eb6bc862b133a46fb0ec8a743d61032f5c8e0dff,"checkpoint_path,config,model_name,training_seed"
rd_hddm_alpha001,50,private-source://routeA_experiments/outputs_rd_hddm_final_20seed/main/seed_0050/mesh_backbone_residual_hddm/best_model.pt,290e555918f945f1377c63be5f3ab24f71f5c8ef3b89c76b4dfb3e31b3aa2209,private-source://routeA_experiments/configs/recalculation_final_a001.yaml,886878a980e8ac3669bb6465eb6bc862b133a46fb0ec8a743d61032f5c8e0dff,"checkpoint_path,config,model_name,training_seed"
rd_hddm_alpha001,51,private-source://routeA_experiments/outputs_rd_hddm_final_20seed/main/seed_0051/mesh_backbone_residual_hddm/best_model.pt,f5ac55a9ab0de2d7739f7b20a882197d4abae9212c66e85adb1d221f7016e13a,private-source://routeA_experiments/configs/recalculation_final_a001.yaml,886878a980e8ac3669bb6465eb6bc862b133a46fb0ec8a743d61032f5c8e0dff,"checkpoint_path,config,model_name,training_seed"
rd_hddm_alpha001,52,private-source://routeA_experiments/outputs_rd_hddm_final_20seed/main/seed_0052/mesh_backbone_residual_hddm/best_model.pt,3d8c1805c9f420fe060cfcd6bd69bcf500fc9c682ba3a8eb19d61bf9298e4c09,private-source://routeA_experiments/configs/recalculation_final_a001.yaml,886878a980e8ac3669bb6465eb6bc862b133a46fb0ec8a743d61032f5c8e0dff,"checkpoint_path,config,model_name,training_seed"
rd_hddm_alpha001,53,private-source://routeA_experiments/outputs_rd_hddm_final_20seed/main/seed_0053/mesh_backbone_residual_hddm/best_model.pt,849c927e0f7ca935c682d02d6614d656eb56738209fbe8ef9815726a667d3cec,private-source://routeA_experiments/configs/recalculation_final_a001.yaml,886878a980e8ac3669bb6465eb6bc862b133a46fb0ec8a743d61032f5c8e0dff,"checkpoint_path,config,model_name,training_seed"
rd_hddm_alpha001,54,private-source://routeA_experiments/outputs_rd_hddm_final_20seed/main/seed_0054/mesh_backbone_residual_hddm/best_model.pt,5bb6fcd162d6623fb857512e15253036efaac1fd5df1997dab6b6fbf86d3485a,private-source://routeA_experiments/configs/recalculation_final_a001.yaml,886878a980e8ac3669bb6465eb6bc862b133a46fb0ec8a743d61032f5c8e0dff,"checkpoint_path,config,model_name,training_seed"
rd_hddm_alpha001,55,private-source://routeA_experiments/outputs_rd_hddm_final_20seed/main/seed_0055/mesh_backbone_residual_hddm/best_model.pt,d5c5eadda23492de06de5e5e84b3422bf72f0498e6b3f8318d47d9a32e5c4c3f,private-source://routeA_experiments/configs/recalculation_final_a001.yaml,886878a980e8ac3669bb6465eb6bc862b133a46fb0ec8a743d61032f5c8e0dff,"checkpoint_path,config,model_name,training_seed"
rd_hddm_alpha001,56,private-source://routeA_experiments/outputs_rd_hddm_final_20seed/main/seed_0056/mesh_backbone_residual_hddm/best_model.pt,6ae1e9403ce58d022b80052b026bffe412c92b06451e1d61d0b79b0bc42db275,private-source://routeA_experiments/configs/recalculation_final_a001.yaml,886878a980e8ac3669bb6465eb6bc862b133a46fb0ec8a743d61032f5c8e0dff,"checkpoint_path,config,model_name,training_seed"
rd_hddm_alpha001,57,private-source://routeA_experiments/outputs_rd_hddm_final_20seed/main/seed_0057/mesh_backbone_residual_hddm/best_model.pt,eb81ab79ffc3ab6905e57d622e56ce798bc44fd3dcb65fc17748c7998a7cb701,private-source://routeA_experiments/configs/recalculation_final_a001.yaml,886878a980e8ac3669bb6465eb6bc862b133a46fb0ec8a743d61032f5c8e0dff,"checkpoint_path,config,model_name,training_seed"
rd_hddm_alpha001,58,private-source://routeA_experiments/outputs_rd_hddm_final_20seed/main/seed_0058/mesh_backbone_residual_hddm/best_model.pt,fa1421e3a76c48beb15e869c52232639e51427a4efa9a7d7e603270c9e27c70e,private-source://routeA_experiments/configs/recalculation_final_a001.yaml,886878a980e8ac3669bb6465eb6bc862b133a46fb0ec8a743d61032f5c8e0dff,"checkpoint_path,config,model_name,training_seed"
