total_parameters,trainable_parameters,executed_path_parameters,n_samples,repeats,inference_seconds_per_sample_mean,inference_seconds_per_sample_sd,inference_seconds_per_set_mean,inference_seconds_per_set_sd,peak_gpu_allocated_bytes,peak_gpu_reserved_bytes,condition,training_seed,checkpoint
81348,81348,81348,400,3,0.0025768614878567556,1.146201334811496e-05,1.0340810700630148,0.0020496440278254644,236952064,262144000,mesh_backbone_control,41,private-source://routeA_experiments/outputs_mesh_backbone_control/main/seed_0041/mesh_backbone_residual_hddm/best_model.pt
81348,81348,81348,400,3,0.002574855306496223,8.511768545250078e-06,1.0332845232139032,0.0011075506177396512,236952064,262144000,mesh_backbone_control,42,private-source://routeA_experiments/outputs_mesh_backbone_control/main/seed_0042/mesh_backbone_residual_hddm/best_model.pt
81348,81348,81348,400,3,0.0025793596069949368,7.603136120992659e-06,1.0351000453035037,0.00042807711910253335,236952064,262144000,mesh_backbone_control,43,private-source://routeA_experiments/outputs_mesh_backbone_control/main/seed_0043/mesh_backbone_residual_hddm/best_model.pt
81348,81348,81348,400,3,0.002588979222346097,2.5929738102733157e-05,1.0389608660091956,0.0022702826245784534,236952064,262144000,mesh_backbone_control,44,private-source://routeA_experiments/outputs_mesh_backbone_control/main/seed_0044/mesh_backbone_residual_hddm/best_model.pt
81348,81348,81348,400,3,0.002576423919914911,7.402847572252187e-06,1.033910253085196,0.0011459682144448838,236952064,262144000,mesh_backbone_control,45,private-source://routeA_experiments/outputs_mesh_backbone_control/main/seed_0045/mesh_backbone_residual_hddm/best_model.pt
81348,81348,81348,400,3,0.002581164881121367,8.109903940106869e-06,1.0358214459071557,0.0007913533371969432,236952064,262144000,mesh_backbone_control,46,private-source://routeA_experiments/outputs_mesh_backbone_control/main/seed_0046/mesh_backbone_residual_hddm/best_model.pt
81348,81348,81348,400,3,0.002573715748731047,8.319082556681944e-06,1.032818322069943,0.0012844053563989778,236952064,262144000,mesh_backbone_control,47,private-source://routeA_experiments/outputs_mesh_backbone_control/main/seed_0047/mesh_backbone_residual_hddm/best_model.pt
81348,81348,81348,400,3,0.002582959938639154,7.735999053051902e-06,1.0365383674701054,0.0011333698637650447,236952064,262144000,mesh_backbone_control,48,private-source://routeA_experiments/outputs_mesh_backbone_control/main/seed_0048/mesh_backbone_residual_hddm/best_model.pt
81348,81348,81348,400,3,0.0025780035159550605,9.42342476416952e-06,1.03454765646408,0.0005035311743336824,236952064,262144000,mesh_backbone_control,49,private-source://routeA_experiments/outputs_mesh_backbone_control/main/seed_0049/mesh_backbone_residual_hddm/best_model.pt
81348,81348,81348,400,3,0.002579233021630595,7.3819975894177815e-06,1.0350371735791366,0.001143793299253717,236952064,262144000,mesh_backbone_control,50,private-source://routeA_experiments/outputs_mesh_backbone_control/main/seed_0050/mesh_backbone_residual_hddm/best_model.pt
81348,81348,81348,400,3,0.0025792221127388377,8.352587080269446e-06,1.0350479998936255,0.0007238825428531893,236952064,262144000,mesh_backbone_control,51,private-source://routeA_experiments/outputs_mesh_backbone_control/main/seed_0051/mesh_backbone_residual_hddm/best_model.pt
81348,81348,81348,400,3,0.0025812576004924873,7.605768165011095e-06,1.0358647818987567,0.0005518392730468306,236952064,262144000,mesh_backbone_control,52,private-source://routeA_experiments/outputs_mesh_backbone_control/main/seed_0052/mesh_backbone_residual_hddm/best_model.pt
81348,81348,81348,400,3,0.0025805470044724644,7.585444595079972e-06,1.0355672563115756,0.0003494480286887271,236952064,262144000,mesh_backbone_control,53,private-source://routeA_experiments/outputs_mesh_backbone_control/main/seed_0053/mesh_backbone_residual_hddm/best_model.pt
