training_seed,shape,samples,mae_wins,mae_losses,mae_ties,mae_mean_improvement,relative_l2_wins,relative_l2_losses,relative_l2_ties,relative_l2_mean_improvement,max_abs_error_wins,max_abs_error_losses,max_abs_error_ties,max_abs_error_mean_improvement,p95_abs_error_wins,p95_abs_error_losses,p95_abs_error_ties,p95_abs_error_mean_improvement,p99_abs_error_wins,p99_abs_error_losses,p99_abs_error_ties,p99_abs_error_mean_improvement
41,c_shape,200,120,80,0,0.001559690166491006,123,77,0,0.00875470957551621,140,60,0,0.04173123191620107,116,84,0,0.004242859045621702,129,71,0,0.021051747456862335
42,c_shape,200,181,19,0,0.012749666086676676,177,23,0,0.13974075061814556,177,23,0,0.11287368431276264,144,56,0,0.020909105694775876,168,32,0,0.06417573011002597
43,c_shape,200,172,28,0,0.015326524634819013,157,43,0,0.18996372160673466,142,58,0,0.06434932445052027,135,65,0,0.022144429015838397,139,61,0,0.04212929000451394
44,c_shape,200,191,9,0,0.03452727756577805,188,12,0,0.47394237816089385,186,14,0,0.33687870201701997,183,17,0,0.1128246683580515,186,14,0,0.2294620379901797
45,c_shape,200,133,67,0,0.005421849826489686,154,46,0,0.15447645472062177,169,31,0,0.12722463077589055,158,42,0,0.042926957748505835,165,35,0,0.08597332542196089
46,c_shape,200,146,54,0,0.0077162359672061295,155,45,0,0.12745310029950255,162,38,0,0.06923143780771815,152,48,0,0.027923715688511777,152,48,0,0.04623333702681558
47,c_shape,200,170,30,0,0.014981293954148673,179,21,0,0.2801544643474509,180,20,0,0.2200882219821468,183,17,0,0.07993511062249853,185,15,0,0.1541046241458198
48,c_shape,200,172,28,0,0.009110813948263108,174,26,0,0.11852926086120565,179,21,0,0.09585375739919925,155,45,0,0.024417973395465652,173,27,0,0.05442194937759526
49,c_shape,200,166,34,0,0.009370447300470635,149,51,0,0.07140335170655246,123,77,0,0.022409015492906973,128,72,0,0.008682961331490715,113,87,0,0.010880096688049607
50,c_shape,200,167,33,0,0.011282283281216691,178,22,0,0.15098930883669595,187,13,0,0.14345968590220992,178,22,0,0.05364586574484797,178,22,0,0.09807737115531516
51,c_shape,200,182,18,0,0.013352438096144548,152,48,0,0.11731972584915575,147,53,0,0.04882345751645744,117,83,0,0.006941327678141402,116,84,0,0.017161069186389898
52,c_shape,200,175,25,0,0.009046026781866294,163,37,0,0.11706683554817615,152,48,0,0.06344416474584705,152,48,0,0.025679910507032597,148,52,0,0.04169566233021475
53,c_shape,200,159,41,0,0.008884839858979381,163,37,0,0.15177603399962844,165,35,0,0.12385276482992102,152,48,0,0.028438428294391683,158,42,0,0.06460588746885033
54,c_shape,200,189,11,0,0.011765008330440635,183,17,0,0.1275793463427088,190,10,0,0.1324015084797543,170,30,0,0.03744068641238078,184,16,0,0.08268148019264818
55,c_shape,200,184,16,0,0.017418335753492248,176,24,0,0.21202528392226586,175,25,0,0.09293951986297615,165,35,0,0.04206703884050043,168,32,0,0.06135605620371147
56,c_shape,200,142,58,0,0.0067808073065373,152,48,0,0.1338361714342174,178,22,0,0.09238735908625585,154,46,0,0.0359811856805625,168,32,0,0.06325623182798557
57,c_shape,200,184,16,0,0.019762049605663606,185,15,0,0.25236677033610083,181,19,0,0.14118513102686847,174,26,0,0.0621660193703333,178,22,0,0.10175469973251286
58,c_shape,200,189,11,0,0.017357394054633844,190,10,0,0.27028390542795905,181,19,0,0.2009329666476242,185,15,0,0.06835032282055868,180,20,0,0.13039070058161062
59,c_shape,200,178,22,0,0.02494847936509795,163,37,0,0.273809736248074,144,56,0,0.07841630309564614,138,62,0,0.03467907110175784,130,70,0,0.04849448671390581
60,c_shape,200,113,87,0,0.0010774634485775944,101,99,0,0.02591729397490692,135,65,0,0.03882628236746143,78,122,0,-0.012848082233528145,95,105,0,0.00016332253905507134
41,two_hole,200,81,119,0,-0.0006306488595265647,102,98,0,-0.01369793890834384,126,74,0,0.023991031194018433,86,114,0,-0.001991747013609939,107,93,0,0.00031643632778452225
42,two_hole,200,115,85,0,0.0012571341783255386,89,111,0,-0.011208192936889808,105,95,0,0.01740096818917664,55,145,0,-0.011038635110866259,79,121,0,-0.0059618273433087446
43,two_hole,200,185,15,0,0.008543252076293755,189,11,0,0.23266713606021214,174,26,0,0.09701949324498742,179,21,0,0.0245927870108409,173,27,0,0.045304165836285056
44,two_hole,200,198,2,0,0.021910602492798744,197,3,0,0.6129898324654433,193,7,0,0.26421960218568075,197,3,0,0.07642254972168822,195,5,0,0.16483158649020901
45,two_hole,200,70,130,0,-0.0020588647754443217,106,94,0,0.041357989459713515,168,32,0,0.10944903089007767,123,77,0,0.013256409018164762,152,48,0,0.051041983702973644
46,two_hole,200,173,27,0,0.007813311088323626,168,32,0,0.19194927510788543,161,39,0,0.058528809211682076,151,49,0,0.01693449473123057,147,53,0,0.02504379139521579
47,two_hole,200,140,60,0,0.004424681494281493,162,38,0,0.22513861767114082,185,15,0,0.17919974330828836,161,39,0,0.030140975677465546,174,26,0,0.09110436873344013
48,two_hole,200,150,50,0,0.002975108799675582,174,26,0,0.1235896393891304,184,16,0,0.08008987226853606,147,53,0,0.012439990875013214,172,28,0,0.03667908110824483
49,two_hole,200,183,17,0,0.007788971978346868,172,28,0,0.1682700254819373,138,62,0,0.023990635232997874,159,41,0,0.014652384444478582,137,63,0,0.01640056511485498
50,two_hole,200,187,13,0,0.007101725899609093,186,14,0,0.1829787507989976,179,21,0,0.09600711569056329,169,31,0,0.02111593901530955,175,25,0,0.05571268797905816
51,two_hole,200,191,9,0,0.010484566071816612,188,12,0,0.2773342697709169,172,28,0,0.07017769025383032,177,23,0,0.027542879307835902,167,33,0,0.04126259578671488
52,two_hole,200,200,0,0,0.015655539987708068,194,6,0,0.35733784099675814,164,36,0,0.08155820420338386,185,15,0,0.03540125701579654,168,32,0,0.04699898741540354
53,two_hole,200,151,49,0,0.0032240063662299957,161,39,0,0.10793633805226495,166,34,0,0.06833522778661404,160,40,0,0.01591325590160427,159,41,0,0.030207396542170986
54,two_hole,200,165,35,0,0.005191914627764511,164,36,0,0.12726707701856046,177,23,0,0.11093114643991613,136,64,0,0.012622057827932671,168,32,0,0.050369172591810625
55,two_hole,200,145,55,0,0.0049624879504689065,145,55,0,0.11553948819899144,156,44,0,0.05943616918119233,123,77,0,0.01016961679358572,142,58,0,0.03149097955896731
56,two_hole,200,94,106,0,0.00036419459796940216,136,64,0,0.09208865305377625,171,29,0,0.08459410054654654,143,57,0,0.014873554891677696,162,38,0,0.04439522223398029
57,two_hole,200,181,19,0,0.007916815978296673,181,19,0,0.22027028828823908,164,36,0,0.09339254404713757,182,18,0,0.029792238935176508,162,38,0,0.04561956096026965
58,two_hole,200,181,19,0,0.009653244606189828,187,13,0,0.36674586915038737,183,17,0,0.20877349375677567,187,13,0,0.043987138158045794,183,17,0,0.11330700224729069
59,two_hole,200,199,1,0,0.01730991095563374,196,4,0,0.36586216267637267,149,51,0,0.05132612393604518,188,12,0,0.039655289141134836,156,44,0,0.040032623766389844
60,two_hole,200,167,33,0,0.006292070254901737,153,47,0,0.13617897564337822,155,45,0,0.06547924988860263,132,68,0,0.010290503807193922,142,58,0,0.024677221258491682
