condition,training_seed,epochs_completed,checkpoint_exists,checkpoint_sha256,best_epoch,best_validation_mae,initial_train_mse,final_train_mse,initial_lr,final_lr
mesh_backbone_control,41,500,True,361b78e35495ce05a350944df623b5a5f8d7164565117dd33b4c77c909348aed,499,0.0315269589424133,0.1621415723580867,0.0016165231485501,0.001,3.125e-05
mesh_backbone_control,42,500,True,b0c830e316baa9eadb7a26c231d61473f8a17e9de315cee6eafde4123953f5eb,499,0.0393289165571332,0.2191094335634261,0.0018161097817937,0.001,3.125e-05
mesh_backbone_control,43,500,True,6fe98417b71abcc80088fe7363c2d7a0b771c70005eae226cd04db2e653ceffe,499,0.0373100399971008,0.1301751167280599,0.0013651079876581,0.001,6.25e-05
mesh_backbone_control,44,500,True,a94b0f04d78c55410513fa6d131b5a1c93c0231d2289bf3d39ae8ff8e4aa7e0e,499,0.0372673891484737,0.1119115492329001,0.0017960253215278,0.001,6.25e-05
mesh_backbone_control,45,500,True,a6081d2ef70b17eaf3c803ab229ad4288879bbcd2213fb7ad269fd38bf41514d,499,0.0340840094722807,0.1155059142736718,0.0017691089917207,0.001,6.25e-05
mesh_backbone_control,46,500,True,d4f84430dd53c26b537e758eb1c8168a95af88020d65afcce8392e95bf4c1680,499,0.0353247787803411,0.1102053439477458,0.0019223440700443,0.001,6.25e-05
mesh_backbone_control,47,500,True,5b991606d9acb3fcfd6800af521971fd2437a41b4da2ddf7b11e31ce33d55341,499,0.0315228061750531,0.0979184001218527,0.0014959928412281,0.001,6.25e-05
mesh_backbone_control,48,500,True,6e78f9d3705bc7549bb4250530d6df7846b13dd8e967d3f77b0455d7edc4bf58,499,0.0352287013083696,0.1000399057986214,0.0022315089910989,0.001,3.125e-05
mesh_backbone_control,49,500,True,5d030760c966ac8e242ba5c8818ce5fa9445af6ad66c580bc6e49c23bc24b84e,499,0.0341638445854187,0.1539070387370884,0.0020003498560981,0.001,6.25e-05
mesh_backbone_control,50,419,True,1efbe2c6a88cce83dc4dad9f1e4f30be5cece697b4a01870f265e48910e5dbf5,368,0.0304135538637638,0.1064726850949227,0.0015208492695819,0.001,1.953125e-06
mesh_backbone_control,51,500,True,be7eca32473ab9440c9f8b9248c9b7791d2c78679d56e8a52f8736823e5b09f7,499,0.0356161700561642,0.1141009394545108,0.0028360451760818,0.001,0.000125
mesh_backbone_control,52,500,True,b19d4354b7a0b6fe7f7f979e7a63b3bdec5bff1116027eac375dee2a52cdaa77,499,0.0310405062511563,0.1687654637033119,0.001529255452624,0.001,6.25e-05
mesh_backbone_control,53,500,True,7fbb4d8803b5759c38f35bb4db6ab31c90f982beab1e96b5acb30b17b24930e2,486,0.0303093230351805,0.1339681337820366,0.0015698881667049,0.001,3.125e-05
mesh_backbone_control,54,500,True,62b967ef2e6ffcd090cce0ba42d08c8a52c8eccd0388934c0e531709a03d7b5f,499,0.0331156969070434,0.1448857487645,0.0016099249085527,0.001,1.5625e-05
mesh_backbone_control,55,375,True,5cb8e37581ae6eeda69c3feffd49c2c4265f378ba37138376231188dd95228ad,324,0.0322448430582881,0.1417477497365325,0.0020185828878311,0.001,2.44140625e-07
mesh_backbone_control,56,500,True,d44d2228e5a8f76f2597e3b1e73dbadae2334f24f99aba4936b0df30fbce5439,499,0.0416364720091223,0.1191779654473066,0.0022382113776984,0.001,0.000125
