training_seed,shape,samples,mae_wins,mae_losses,mae_ties,mae_mean_improvement,relative_l2_wins,relative_l2_losses,relative_l2_ties,relative_l2_mean_improvement,max_abs_error_wins,max_abs_error_losses,max_abs_error_ties,max_abs_error_mean_improvement,p95_abs_error_wins,p95_abs_error_losses,p95_abs_error_ties,p95_abs_error_mean_improvement,p99_abs_error_wins,p99_abs_error_losses,p99_abs_error_ties,p99_abs_error_mean_improvement
41,c_shape,200,113,87,0,0.001204290959004019,133,67,0,0.03247159610160883,163,37,0,0.07277298617716951,124,76,0,0.013577508128129363,152,48,0,0.04039401157117184
42,c_shape,200,160,40,0,0.011377507875460713,149,51,0,0.1482637317259055,178,22,0,0.11662305924834072,144,56,0,0.02234514903558734,165,35,0,0.06887685068349406
43,c_shape,200,174,26,0,0.010751429026799635,179,21,0,0.15347014608431314,181,19,0,0.10363616862581466,178,22,0,0.03969319884913857,178,22,0,0.07389504378864946
44,c_shape,200,194,6,0,0.03735087631118745,194,6,0,0.522232164769744,190,10,0,0.3605537436326873,187,13,0,0.1313290056932291,190,10,0,0.2549672819462121
45,c_shape,200,67,133,0,-0.005863780876939438,112,88,0,0.039000107900747066,175,25,0,0.13319300774338444,134,66,0,0.02521282044352401,163,37,0,0.0800559095415985
46,c_shape,200,143,57,0,0.005681565752121029,163,37,0,0.11296698384958344,173,27,0,0.08505245409009604,160,40,0,0.03119020449415387,171,29,0,0.05723340542219152
47,c_shape,200,145,55,0,0.009256788370508433,170,30,0,0.19912762811454576,178,22,0,0.21445097345370948,174,26,0,0.060098264121965936,176,24,0,0.14154327651769766
48,c_shape,200,143,57,0,0.0039079512908298504,145,55,0,0.054028914726896006,181,19,0,0.08667115132945526,133,67,0,0.01690837614009524,169,31,0,0.04925025263787417
49,c_shape,200,155,45,0,0.008495443303269354,158,42,0,0.09947072334875706,142,58,0,0.03624225925956125,144,56,0,0.017050983318898094,144,56,0,0.023024669098914093
50,c_shape,200,164,36,0,0.011881515025004466,176,24,0,0.1633416907633649,181,19,0,0.13008269317818077,174,26,0,0.05102291544293137,172,28,0,0.08858963695871096
51,c_shape,200,194,6,0,0.016983920764365806,185,15,0,0.12927877225756076,149,51,0,0.04904891014979512,158,42,0,0.024526865688749747,150,50,0,0.0345862319724774
52,c_shape,200,130,70,0,0.0030219856106009353,135,65,0,0.03842884190219327,158,42,0,0.04900950236198241,131,69,0,0.011022796752321214,145,55,0,0.026656012480185513
53,c_shape,200,144,56,0,0.007376325399364308,147,53,0,0.14518281578964892,159,41,0,0.12725201130856717,132,68,0,0.023365692198214372,141,59,0,0.06197823056066221
54,c_shape,200,188,12,0,0.019575341170406515,179,21,0,0.24833005344049702,165,35,0,0.12766882261097293,168,32,0,0.04945360304815214,159,41,0,0.08502514791348041
55,c_shape,200,195,5,0,0.021138481850486848,192,8,0,0.24548484316831595,178,22,0,0.10354893197853088,182,18,0,0.05120200100128497,174,26,0,0.07142936487756611
56,c_shape,200,137,63,0,0.007658232571540693,151,49,0,0.1270422798418081,172,28,0,0.0747965499611928,153,47,0,0.034924062661340495,161,39,0,0.057549565946839285
57,c_shape,200,184,16,0,0.017219754499163527,187,13,0,0.21664111361679905,176,24,0,0.11831935173693636,178,22,0,0.052234458478285145,178,22,0,0.08477838253367892
58,c_shape,200,192,8,0,0.017187420345370928,193,7,0,0.27041567722315113,190,10,0,0.21334584269148307,192,8,0,0.07614907709521536,190,10,0,0.14162968980732046
59,c_shape,200,190,10,0,0.026892715343103592,177,23,0,0.2831680574507328,158,42,0,0.09180887978559447,149,51,0,0.041119601278036925,143,57,0,0.0626538752045298
60,c_shape,200,146,54,0,0.004380306496469937,150,50,0,0.03735181207222305,161,39,0,0.06803427877483954,139,61,0,0.01706091340989191,148,52,0,0.03600057422975214
41,two_hole,200,69,131,0,-0.001579074018733261,95,105,0,-0.025493791427994638,143,57,0,0.03733492781582755,85,115,0,-0.00274805746300583,109,91,0,0.0063678942167551215
42,two_hole,200,195,5,0,0.0092220195037099,186,14,0,0.1651600141115006,165,35,0,0.05250913578008294,161,39,0,0.014220654575478539,165,35,0,0.02724539328784145
43,two_hole,200,154,46,0,0.004425086013855038,166,34,0,0.15230620832168662,186,14,0,0.10841609237805529,161,39,0,0.018721709660098694,169,31,0,0.0479966019190016
44,two_hole,200,192,8,0,0.0175039065195894,194,6,0,0.5457470555165849,193,7,0,0.28187563584810504,194,6,0,0.07055834243638726,193,7,0,0.17017636537868824
45,two_hole,200,52,148,0,-0.004241604583145137,90,110,0,-0.01282915850847947,179,21,0,0.13017436841281324,113,87,0,0.008619783857527668,155,45,0,0.05411635304578092
46,two_hole,200,139,61,0,0.0027504803967055547,140,60,0,0.06265680431776385,155,45,0,0.05106353626942564,127,73,0,0.006135804703174417,136,64,0,0.015760320841195878
47,two_hole,200,128,72,0,0.0028783212828242533,133,67,0,0.11438473948903892,183,17,0,0.16346568657452962,116,84,0,0.012457070712762492,168,32,0,0.07020806743179192
48,two_hole,200,151,49,0,0.0032688382930700657,154,46,0,0.08720306602758891,170,30,0,0.06778502368588306,132,68,0,0.0076835220667448925,158,42,0,0.027713186057685496
49,two_hole,200,174,26,0,0.007629835341459399,174,26,0,0.176871759949796,144,56,0,0.03772148859099957,167,33,0,0.01814236273466441,143,57,0,0.02469740275460774
50,two_hole,200,195,5,0,0.009969032693799527,193,7,0,0.2475702956958481,172,28,0,0.09417362859040622,180,20,0,0.02683733994301896,172,28,0,0.058227638034190524
51,two_hole,200,200,0,0,0.012418545770099829,195,5,0,0.28019104605656336,167,33,0,0.0599988923000592,189,11,0,0.03010814265629467,169,31,0,0.04181050245070618
52,two_hole,200,199,1,0,0.014689824346335017,193,7,0,0.3260634425232665,164,36,0,0.07264597607108157,183,17,0,0.03255190519900727,169,31,0,0.04099326949103815
53,two_hole,200,135,65,0,0.0027085767947647027,148,52,0,0.09803915673258913,156,44,0,0.06546482637118686,150,50,0,0.014131729764395926,153,47,0,0.02766634732788047
54,two_hole,200,198,2,0,0.014536192350166465,197,3,0,0.3597319026696226,178,22,0,0.12827907542195136,190,10,0,0.037938008196974404,172,28,0,0.07283887226430474
55,two_hole,200,182,18,0,0.008641680610825169,187,13,0,0.23153507738672516,179,21,0,0.0820123242338559,177,23,0,0.02763284825364612,179,21,0,0.05326542167340127
56,two_hole,200,119,81,0,0.0018051117032546282,147,53,0,0.1063672087092409,168,32,0,0.07815147494624398,147,53,0,0.016513077424620846,167,33,0,0.041341350020054006
57,two_hole,200,196,4,0,0.009144398010364398,194,6,0,0.2168621911218368,174,26,0,0.07801208405213401,182,18,0,0.02626098849856544,167,33,0,0.037482442642816624
58,two_hole,200,190,10,0,0.011385077130395757,191,9,0,0.3926860663172718,186,14,0,0.214739949873524,185,15,0,0.04532673332657113,185,15,0,0.11582262715600805
59,two_hole,200,200,0,0,0.018787834141178697,200,0,0,0.39589113178717233,167,33,0,0.06862540626461623,197,3,0,0.04301640947984815,170,30,0,0.048895888579309335
60,two_hole,200,168,32,0,0.004665113497979011,143,57,0,0.0688821571763925,154,46,0,0.055725751940181,109,91,0,0.005281951409653861,128,72,0,0.017184896534269082
