condition,training_seed,shape,mae,relative_l2,max_abs_error,p95_abs_error,p99_abs_error
mesh_backbone_control,41,c_shape,0.062041805918026244,0.6224845053535685,0.3852819366182848,0.19685918637152092,0.29520566688925814
rd_hddm_alpha001,41,c_shape,0.060837514959022225,0.5900129092519596,0.31250895044111526,0.18328167824339153,0.2548116553180863
mesh_backbone_control,42,c_shape,0.08335108731171724,0.8546616826838078,0.47462602783616603,0.22734941974155073,0.3528295122405884
rd_hddm_alpha001,42,c_shape,0.07197357943625653,0.7063979509579024,0.3580029685878253,0.20500427070596342,0.2839526615570943
mesh_backbone_control,43,c_shape,0.07418802771521006,0.7526367283002153,0.4271793787227921,0.2206688745142214,0.33028264008957364
rd_hddm_alpha001,43,c_shape,0.06343659868841042,0.5991665822159021,0.3235432100969774,0.18097567566508282,0.25638759630092417
mesh_backbone_control,44,c_shape,0.09960668657937352,1.1003392116200952,0.697072732520393,0.3215541574070332,0.5207734222051291
rd_hddm_alpha001,44,c_shape,0.062255810268186086,0.5781070468503513,0.33651898888770576,0.19022515171380414,0.265806140258917
mesh_backbone_control,45,c_shape,0.07232975385897979,0.7713273532972502,0.4696222145723004,0.23516382702595834,0.35900987854866384
rd_hddm_alpha001,45,c_shape,0.07819353473591922,0.7323272453965031,0.33642920682891597,0.2099510065824343,0.2789539690070654
mesh_backbone_control,46,c_shape,0.06598324276583917,0.6751050409228454,0.4046247851122462,0.2142884361477934,0.31209484152916944
rd_hddm_alpha001,46,c_shape,0.060301677013718136,0.5621380570732619,0.3195723310221501,0.1830982316536395,0.2548614361069779
mesh_backbone_control,47,c_shape,0.07847175742323369,0.860138929983464,0.5609104560202066,0.26554211542472933,0.42037237217952916
rd_hddm_alpha001,47,c_shape,0.06921496905272526,0.6610113018689181,0.34645948256649717,0.20544385130276344,0.27882909566183145
mesh_backbone_control,48,c_shape,0.07419600788869898,0.758767304981414,0.4417610581988396,0.2294471184621579,0.3388864237456572
rd_hddm_alpha001,48,c_shape,0.07028805659786913,0.7047383902545179,0.3550899068693843,0.21253874232206266,0.289636171107783
