mesh_id,dataset,split,seed,sample_index,sample_seed,shape,requested_interior_nodes,num_nodes,num_triangles,fine_directed_edges,fine_undirected_edges,boundary_nodes,source_x,source_y,source_sigma,target_max,target_l2_norm,mesh_generation_seconds,labels_npz,labels_npz_sha256,triangle_area_min,triangle_area_mean,triangle_area_max,triangle_area_cv,minimum_angle_deg,aspect_ratio_mean,aspect_ratio_max,raw_disconnected_part_count,raw_disconnected_parts_json,repair_event_count,moved_nodes_total,moved_unique_nodes,moved_fraction,bfs_seconds,parmetis_seconds,repair_seconds
development_train_seed41_sample000_rectangle,development,train,41,0,41,rectangle,666,822,1486,4614,2307,156,0.7270755514810023,0.6339660453177997,0.06318809854123314,0.7071981129835765,5.450342626391001,0.06186316767707467,paper_partition_evidence/mesh_archives/development_train_seed41_sample000_rectangle.npz,75832f01b7a9f07555da4369a9fa5073166093347cba7fd542fb971382c7ef42,4.3731153946735473e-07,0.0006729475100942127,0.0047674162847758375,0.9191701898553621,0.12123674653558444,4.049833032952359,751.7091816841244,0,{},0,0,0,0.0,0.04045716393738985,0.44873423827812076,0.0041321199387311935
development_train_seed41_sample001_wavy,development,train,41,1,42,wavy,782,904,1619,5044,2522,186,0.6369780242779817,0.46943921987602616,0.11080886479423986,1.4717317355254032,16.11633594655142,0.07743427809327841,paper_partition_evidence/mesh_archives/development_train_seed41_sample001_wavy.npz,6436898f7fccef2c2bd5f37f2f218703f5f745eddc4ac79f4c1c0b681ec5545e,2.3721663668328236e-06,0.00044652061000268167,0.003240362927986538,0.8852435520156834,1.4945687432176145,3.1235099840212333,46.347405751364064,2,"{""7"": 2, ""14"": 2}",2,27,27,0.029867256637168143,0.006585529074072838,0.4512260230258107,0.004921733867377043
development_train_seed41_sample002_rectangle,development,train,41,2,43,rectangle,732,888,1618,5010,2505,156,0.5761496313504553,0.2718876618194983,0.0563019231468241,0.6063458966285654,4.644125265179153,0.07827246002852917,paper_partition_evidence/mesh_archives/development_train_seed41_sample002_rectangle.npz,02a7d6682d4a1141b29a7dc499dbadef47d2aa5a7fa74a4917ff93747beb61bf,4.933058426947161e-06,0.0006180469715698393,0.004031816234191224,0.8666869528993666,0.6918181432324543,3.0821611183224595,83.1661835260288,0,{},0,0,0,0.0,0.007077869027853012,0.44335428765043616,0.004062652122229338
development_train_seed41_sample003_wavy,development,train,41,3,44,wavy,707,829,1472,4600,2300,184,0.3112827548369358,0.3790565373863865,0.08137509730837353,0.8852851313477884,7.378918226167491,0.06719371490180492,paper_partition_evidence/mesh_archives/development_train_seed41_sample003_wavy.npz,95173749a345b693bc5e2152343639b93a25638eaf5a8bb4805459803e30c803,3.0632253075946914e-07,0.000492745052355659,0.003542535205807546,0.8539303376709936,1.0939917673637714,3.185802860771301,52.68636001035601,0,{},0,0,0,0.0,0.006321146618574858,0.4470927380025387,0.003677304834127426
development_train_seed41_sample004_rectangle,development,train,41,4,45,rectangle,683,839,1520,4716,2358,156,0.5365653284737528,0.5142455725851014,0.10463726558712519,1.7110209396943206,16.504160383570504,0.06988576473668218,paper_partition_evidence/mesh_archives/development_train_seed41_sample004_rectangle.npz,8017c7da9c6fe2a7d85f45e659db2747d2c1a76a39ce907ad381666c113d1055,1.6373205165863493e-07,0.0006578947368421051,0.004518668381632584,0.9204898783291912,0.056309176479624634,5.137397191654321,2007.7382292833026,0,{},0,0,0,0.0,0.006527085788547993,0.4485469781793654,0.004200330935418606
development_train_seed41_sample005_wavy,development,train,41,5,46,wavy,450,569,960,3056,1528,174,0.702802138345156,0.2886133966058716,0.07271703413471145,0.7112517332799225,4.0905405258990415,0.048625728115439415,paper_partition_evidence/mesh_archives/development_train_seed41_sample005_wavy.npz,10912a0a48908dade16928ec0c565d154f1509aba17b2b534f81bac2208f221e,1.7499760912928116e-06,0.0007469614294981216,0.0048383920793709624,0.9129674107663228,1.4657590110996854,3.267466745781704,39.46730698886433,0,{},0,0,0,0.0,0.0044143288396298885,0.4524683910422027,0.0038918331265449524
development_train_seed41_sample006_rectangle,development,train,41,6,47,rectangle,501,657,1156,3624,1812,156,0.6209009973212802,0.6268344085598039,0.08523673498491643,1.1962636545730039,8.881586621718657,0.06020099716261029,paper_partition_evidence/mesh_archives/development_train_seed41_sample006_rectangle.npz,9e6e932b06564b78554207ffec772d96bb6d4c0aa4542a115e984a79f1be3c3c,7.912371813067079e-07,0.0008650519031141869,0.004598187761174486,0.8794120540814474,0.16300613150831617,3.5554343373838675,415.46467638330506,0,{},0,0,0,0.0,0.005179690197110176,0.44336249493062496,0.0030059549026191235
development_train_seed41_sample007_wavy,development,train,41,7,48,wavy,731,858,1520,4754,2377,191,0.4438499361427973,0.54788674501467,0.08839703542851066,1.1528696875363316,10.381475175617,0.07001298200339079,paper_partition_evidence/mesh_archives/development_train_seed41_sample007_wavy.npz,94a5711224727820081ec28ad639047fb139a64d3b8fad3e40bc866c0208b03f,9.026555732514139e-07,0.00047763668766949706,0.0028984221927550262,0.8931510058319533,0.20011378285813858,3.6527611161799767,364.183777772479,0,{},0,0,0,0.0,0.0065381210297346115,0.44277112232521176,0.0038979151286184788
development_train_seed41_sample008_rectangle,development,train,41,8,49,rectangle,533,689,1220,3816,1908,156,0.4314270961380681,0.5466086300848662,0.08047676377767216,1.1705168235724677,8.691648030481982,0.05482346983626485,paper_partition_evidence/mesh_archives/development_train_seed41_sample008_rectangle.npz,21d5620500217cc51657d20da05c8536886cba8b88bf21111f157519b69364f8,1.6381794909473026e-06,0.000819672131147541,0.0065884916419303545,0.9145531624563384,0.3254605952595889,3.673094682829031,200.66854779383027,1,"{""5"": 2}",1,11,11,0.015965166908563134,0.005304096266627312,0.4460428669117391,0.007564072031527758
development_train_seed41_sample009_wavy,development,train,41,9,50,wavy,740,862,1540,4802,2401,182,0.6437113459433118,0.6668346672917913,0.09061378991197463,1.0325019234391317,9.989664059748272,0.0772198149934411,paper_partition_evidence/mesh_archives/development_train_seed41_sample009_wavy.npz,4c21db6c9698188a42a97bdce72211b90b584a1595144c20b210108743ea461f,5.25036895455312e-06,0.0004712342651146891,0.00341456188159201,0.9003456593557285,1.1568385214846602,3.009317386599555,49.85731087587421,0,{},0,0,0,0.0,0.006620793137699366,0.4494064263999462,0.0038612913340330124
