mesh_id,dataset,split,seed,sample_index,shape,event_index,iteration,source_part,target_part,moved_nodes,shared_edges,moved_node_ids_json
development_train_seed41_sample001_wavy,development,train,41,1,wavy,0,1,7,6,25,10,"[775, 813, 783, 787, 835, 841, 815, 826, 802, 839, 848, 850, 855, 831, 842, 851, 865, 861, 856, 820, 860, 836, 846, 870, 845]"
development_train_seed41_sample001_wavy,development,train,41,1,wavy,1,1,14,12,2,5,"[270, 297]"
development_train_seed41_sample008_rectangle,development,train,41,8,rectangle,0,1,5,4,11,7,"[635, 642, 643, 658, 659, 638, 646, 657, 654, 655, 656]"
development_train_seed41_sample010_rectangle,development,train,41,10,rectangle,0,1,5,4,18,9,"[308, 326, 329, 313, 320, 332, 335, 366, 339, 361, 347, 392, 354, 368, 371, 387, 397, 374]"
development_train_seed41_sample029_wavy,development,train,41,29,wavy,0,1,0,1,7,5,"[36, 70, 59, 62, 69, 41, 82]"
development_train_seed41_sample031_wavy,development,train,41,31,wavy,0,1,11,10,27,15,"[348, 368, 373, 405, 411, 369, 381, 349, 453, 429, 397, 519, 425, 458, 475, 523, 554, 495, 498, 541, 463, 535, 579, 552, 559, 551, 577]"
development_train_seed41_sample039_wavy,development,train,41,39,wavy,0,1,2,3,3,3,"[422, 424, 438]"
development_validation_seed41_sample008_rectangle,development,validation,41,8,rectangle,0,1,7,13,15,9,"[472, 494, 473, 506, 507, 508, 532, 550, 556, 548, 579, 577, 578, 576, 575]"
development_validation_seed41_sample009_wavy,development,validation,41,9,wavy,0,1,15,8,6,5,"[0, 2, 13, 4, 14, 6]"
development_train_seed42_sample009_wavy,development,train,42,9,wavy,0,1,3,2,14,5,"[29, 51, 38, 71, 34, 45, 63, 72, 94, 35, 44, 49, 53, 30]"
development_train_seed42_sample009_wavy,development,train,42,9,wavy,1,1,7,13,13,6,"[235, 251, 247, 256, 261, 274, 267, 306, 277, 283, 297, 330, 310]"
development_train_seed42_sample015_wavy,development,train,42,15,wavy,0,1,13,15,19,8,"[1, 24, 50, 3, 7, 54, 25, 6, 68, 51, 19, 9, 69, 48, 31, 11, 14, 16, 13]"
development_train_seed43_sample003_wavy,development,train,43,3,wavy,0,1,9,11,10,5,"[452, 453, 469, 472, 462, 465, 482, 508, 496, 503]"
development_train_seed43_sample023_wavy,development,train,43,23,wavy,0,1,3,2,24,8,"[23, 32, 39, 68, 56, 60, 31, 92, 71, 45, 109, 113, 101, 73, 85, 38, 129, 121, 137, 108, 93, 44, 146, 159]"
development_test_seed43_sample004_l_shape,development,test,43,4,l_shape,0,1,5,1,10,6,"[566, 587, 619, 614, 626, 646, 661, 645, 666, 680]"
development_train_seed44_sample001_wavy,development,train,44,1,wavy,0,1,11,14,6,5,"[19, 27, 78, 23, 82, 83]"
development_train_seed44_sample024_rectangle,development,train,44,24,rectangle,0,1,11,1,20,8,"[295, 326, 327, 328, 318, 329, 337, 366, 373, 362, 377, 380, 395, 382, 433, 403, 415, 429, 442, 441]"
development_train_seed44_sample029_wavy,development,train,44,29,wavy,0,1,3,10,1,2,[216]
development_train_seed44_sample035_wavy,development,train,44,35,wavy,0,1,5,4,3,3,"[308, 317, 328]"
development_train_seed44_sample039_wavy,development,train,44,39,wavy,0,1,3,2,12,7,"[252, 268, 263, 274, 284, 295, 307, 309, 330, 331, 350, 344]"
development_validation_seed44_sample002_rectangle,development,validation,44,2,rectangle,0,1,1,6,24,10,"[383, 401, 403, 408, 422, 440, 433, 458, 466, 454, 455, 457, 468, 473, 510, 505, 499, 516, 514, 531, 538, 549, 543, 572]"
development_validation_seed44_sample006_rectangle,development,validation,44,6,rectangle,0,1,13,8,24,9,"[341, 353, 397, 374, 361, 373, 377, 389, 401, 412, 391, 379, 380, 392, 378, 418, 411, 442, 415, 435, 436, 419, 431, 424]"
development_test_seed44_sample006_l_shape,development,test,44,6,l_shape,0,1,8,9,13,8,"[491, 492, 533, 534, 535, 515, 526, 505, 532, 520, 521, 522, 531]"
development_train_seed45_sample009_wavy,development,train,45,9,wavy,0,1,10,11,5,4,"[19, 24, 36, 64, 28]"
development_train_seed45_sample015_wavy,development,train,45,15,wavy,0,1,9,8,22,7,"[0, 1, 2, 4, 9, 13, 15, 3, 23, 19, 5, 26, 42, 53, 33, 37, 38, 7, 58, 90, 84, 62]"
development_train_seed45_sample039_wavy,development,train,45,39,wavy,0,1,3,5,15,4,"[464, 488, 487, 517, 510, 499, 475, 520, 496, 502, 519, 523, 513, 516, 525]"
development_test_seed45_sample002_l_shape,development,test,45,2,l_shape,0,1,4,0,9,7,"[699, 707, 709, 710, 711, 714, 719, 725, 739]"
final_ood_test_seed102_sample011_two_hole,final_ood,test,102,11,two_hole,0,1,5,4,27,5,"[1170, 1194, 1179, 1192, 1222, 1250, 1221, 1235, 1211, 1246, 1248, 1283, 1253, 1269, 1238, 1237, 1281, 1310, 1318, 1278, 1258, 1320, 1313, 1316, 1306, 1317, 1319]"
final_ood_test_seed103_sample009_two_hole,final_ood,test,103,9,two_hole,0,1,9,14,33,15,"[359, 399, 369, 431, 405, 389, 421, 416, 448, 487, 428, 478, 435, 440, 449, 503, 469, 538, 539, 444, 516, 505, 559, 564, 584, 572, 582, 574, 591, 590, 613, 603, 631]"
final_ood_test_seed103_sample019_two_hole,final_ood,test,103,19,two_hole,0,1,15,12,42,16,"[36, 48, 37, 97, 98, 38, 65, 118, 130, 168, 105, 182, 39, 45, 80, 137, 204, 272, 216, 255, 165, 186, 68, 40, 103, 143, 197, 315, 254, 321, 284, 178, 145, 193, 234, 249, 316, 215, 229, 248, 281, 326]"
final_ood_test_seed105_sample014_c_shape,final_ood,test,105,14,c_shape,0,1,11,10,11,8,"[693, 742, 714, 721, 735, 768, 754, 767, 727, 728, 752]"
