model,training_seed,shape,sample_id,sample_file,sample_sha256,inference_seconds,mae,relative_l2,max_abs_error,p95_abs_error,p99_abs_error
residual_v2,50,polygonal_holes,0,private-source://routeA_experiments/data/prospective_ood_rd_hddm_alpha001_v2/polygonal_holes/sample_0000.npz,2813ec3127ac6b2d6e5ea2bdec57dc3842288d486f16a3ac630d975e79544104,0.00704603100894019,0.04899365757610784,0.9066692806272877,0.9605986773967743,0.26353454440832136,0.719625423848629
residual_v2,50,polygonal_holes,1,private-source://routeA_experiments/data/prospective_ood_rd_hddm_alpha001_v2/polygonal_holes/sample_0001.npz,9d77838f7901837e5e6668df3993510bb8ecebaae9c24dafd7c33dd27713ca91,0.007284841034561396,0.05388609740868092,0.5827504842058667,0.6924094557762146,0.3255901351571083,0.5862741515040397
residual_v2,50,polygonal_holes,2,private-source://routeA_experiments/data/prospective_ood_rd_hddm_alpha001_v2/polygonal_holes/sample_0002.npz,64d684a0c62d3af4e0e79525c5a8144d60264714c3b90c3683941cb3669199db,0.0070794280036352575,0.05562841408204084,0.6909801555972,0.7507451176643372,0.2744827263057231,0.645273168683052
residual_v2,50,polygonal_holes,3,private-source://routeA_experiments/data/prospective_ood_rd_hddm_alpha001_v2/polygonal_holes/sample_0003.npz,cee6732562ef0f85cfd1d4207fb826b90bc31335f8fdf22bc7991a2b2d3e3818,0.007239047030452639,0.03897879098192359,0.39694819141087584,0.4894564151763916,0.21298978179693207,0.39480874478816985
residual_v2,50,polygonal_holes,4,private-source://routeA_experiments/data/prospective_ood_rd_hddm_alpha001_v2/polygonal_holes/sample_0004.npz,f922f8aa230eb7f988651778a187a8f75ff947a239987aa900cd3c050a887ec0,0.0070267769624479115,0.05564793266189036,0.7492044436241607,0.8774191439151764,0.35510168373584744,0.6584929744899273
residual_v2,50,polygonal_holes,5,private-source://routeA_experiments/data/prospective_ood_rd_hddm_alpha001_v2/polygonal_holes/sample_0005.npz,7aa5ae995dda3a749c78e6b8b3aff037f07301dbda012f49af7c1983a95fd554,0.006325064052361995,0.046952464111046054,0.9643898110785043,0.9647106528282166,0.17678152071312064,0.6376687428355217
residual_v2,50,polygonal_holes,6,private-source://routeA_experiments/data/prospective_ood_rd_hddm_alpha001_v2/polygonal_holes/sample_0006.npz,a2ab3adff33e2b825261f9f156651d6d226b45d7900ef8697f84935c734df80a,0.006955930031836033,0.04942585409631571,0.560643744694646,0.6678612232208252,0.2848971247673034,0.49519367247819895
residual_v2,50,polygonal_holes,7,private-source://routeA_experiments/data/prospective_ood_rd_hddm_alpha001_v2/polygonal_holes/sample_0007.npz,b504795f95e5481635b933ab900699fe66f38076ab5132e6b57a48c641abbf2b,0.007196263992227614,0.05214776002941327,0.8247329875263214,0.9274446964263916,0.32508070021867747,0.7272037678956985
residual_v2,50,polygonal_holes,8,private-source://routeA_experiments/data/prospective_ood_rd_hddm_alpha001_v2/polygonal_holes/sample_0008.npz,b93c334e8e48c8fd6d52b05cd3ff40f15d4f5cc62702a435f3e0247d6b59a334,0.00696989701827988,0.04265926509418427,0.5437168711454963,0.715480387210846,0.24687006771564465,0.5900207749009132
residual_v2,50,polygonal_holes,9,private-source://routeA_experiments/data/prospective_ood_rd_hddm_alpha001_v2/polygonal_holes/sample_0009.npz,f2ef70e3326ae2f2447ff2754173f923c307e7972ebbe15dd38aabeb5f047c49,0.007150712015572935,0.04173918139172062,0.4832889826355293,0.6134612560272217,0.21869745403528204,0.4520341482758522
