model,training_seed,shape,mae,relative_l2,max_abs_error,p95_abs_error,p99_abs_error
fine_control,41,polygonal_holes,0.07591476401604054,0.8821859872802507,0.7245784606825327,0.4132430905174696,0.5741477594497817
fine_control,41,star_concave,0.10465032889020129,0.5902449488117748,0.5908161674626171,0.3940649140095338,0.4761534024652094
fine_control,42,polygonal_holes,0.07823992995940159,0.910898188482561,0.7217406051908619,0.4258442065547714,0.5678572219413821
fine_control,42,star_concave,0.10602981597947218,0.6098455819785168,0.592037916071713,0.40121455259621136,0.4997012344097718
fine_control,43,polygonal_holes,0.07784497070937166,0.8946332344933985,0.8769191933592083,0.4033260383857413,0.5662751498422003
fine_control,43,star_concave,0.1065721558382424,0.611579972342897,0.832563048908487,0.39757874984201036,0.528441831143666
fine_control,44,polygonal_holes,0.07954270627686072,0.9019057650049658,0.759657723463606,0.41516250231351287,0.5754694455514894
fine_control,44,star_concave,0.10492240049540578,0.5868692686729399,0.5748729315213859,0.3854685732210054,0.47333451470099386
fine_control,45,polygonal_holes,0.07775447837165514,0.8934855739393552,0.829050390451448,0.40532771936215056,0.5854152117392688
fine_control,45,star_concave,0.10383051746973257,0.6025313889727386,0.6888138027861714,0.4099614536385051,0.524868306907732
fine_control,46,polygonal_holes,0.08033978790119832,0.8881929635583053,0.8580966659274418,0.4041997125417691,0.5719733812118997
fine_control,46,star_concave,0.10807191329188576,0.6116223549407168,0.9850106005417183,0.39326111855776974,0.5192953379952814
fine_control,47,polygonal_holes,0.079185488784428,0.9190410468047109,0.8759219476333238,0.41873215357349536,0.600478352892326
fine_control,47,star_concave,0.10946376717528773,0.624364103097029,0.6458896859362722,0.4214997754991054,0.522040529451333
fine_control,48,polygonal_holes,0.07673863783927891,0.8578979140139988,0.6813620213977992,0.40119180200193655,0.5177961853037938
fine_control,48,star_concave,0.1018894916718768,0.5725308913071584,0.5779839480295778,0.3721013447083532,0.4744123908031731
fine_control,49,polygonal_holes,0.07508489331739848,0.8899356092192324,0.758899168186399,0.411521763891651,0.5906366363241774
fine_control,49,star_concave,0.10119467880562429,0.5852629312724816,0.6186269239522517,0.3902310347571037,0.4868931429434567
fine_control,50,polygonal_holes,0.07909817541986525,0.920371493924334,0.6971335623739288,0.43502976381472025,0.5773815194201714
fine_control,50,star_concave,0.11067878659569631,0.638707395125222,0.6146133310347796,0.4322701156833208,0.5225648065865971
fine_control,51,polygonal_holes,0.07443164451874847,0.8767907863150387,0.8992814527037263,0.3979569663146757,0.5779503404167858
fine_control,51,star_concave,0.10211629822422523,0.5884839478908122,0.700596742844209,0.3933559715519659,0.49169268038365993
fine_control,52,polygonal_holes,0.07751947447166456,0.8922125688446937,0.7684610850576428,0.42830846297455705,0.5544972078319027
fine_control,52,star_concave,0.10600042390168359,0.6052090238425091,0.5961982367374002,0.4065220358823426,0.496177932190895
fine_control,53,polygonal_holes,0.07814290572814674,0.8809757088063701,0.7093223665992263,0.414509166468706,0.5406910621121176
fine_control,53,star_concave,0.10316455414497427,0.5800793539269445,0.5920703031122685,0.383313107678201,0.46967789202574634
fine_control,54,polygonal_holes,0.08060862515467243,0.9048373585443963,0.6867152810003608,0.4226080172846195,0.5438137546862941
fine_control,54,star_concave,0.10817310856750197,0.6057510470771241,0.57107072673738,0.3962943847943097,0.4760766857189126
fine_control,55,polygonal_holes,0.08186945688169059,0.9362725584209691,0.9358120062676608,0.4271131988233827,0.5866979811729368
fine_control,55,star_concave,0.11017149672006185,0.6324230355327117,0.6215106662921608,0.4291736102337017,0.5230369175409898
fine_control,56,polygonal_holes,0.08200620588193978,0.9254567976009552,0.8815466487586491,0.4340539210441856,0.5621161434203619
fine_control,56,star_concave,0.10866098968042039,0.6110601241454884,0.5816525010950864,0.40305188600672404,0.4844627223558724
fine_control,57,polygonal_holes,0.08107274655975347,0.9078008954255907,0.7099003232573159,0.42104278638352105,0.5574088256550778
fine_control,57,star_concave,0.10921212087808145,0.6120571200946542,0.5991184923052788,0.4121420133048668,0.4988057981198653
fine_control,58,polygonal_holes,0.08028752940196571,0.9026861816129303,0.7261371338856406,0.41379682319647676,0.554155196345516
fine_control,58,star_concave,0.10775466530850338,0.6135946410306454,0.7158480889350176,0.40760815981356424,0.5260534357627854
fine_control,59,polygonal_holes,0.08207259724672392,0.9183586980148312,0.7078478776197881,0.4177155224617017,0.5788858340962324
fine_control,59,star_concave,0.11082549785550341,0.6288699609226286,0.6099780811555684,0.4278610604139976,0.5325241796112619
fine_control,60,polygonal_holes,0.08163262072085317,0.9413918800721781,0.826181092786137,0.43471029095478286,0.5944066359915334
fine_control,60,star_concave,0.10824750995768188,0.6250706731110314,0.7910020367056131,0.4159179579652845,0.525568677040562
residual_v2,41,polygonal_holes,0.05113894550777959,0.6703658739912122,0.7380866369605065,0.26984600533422176,0.5712977411358616
residual_v2,41,star_concave,0.08185078554300039,0.5314630795911225,0.6460412220656871,0.39816284490562964,0.5652421172514558
residual_v2,42,polygonal_holes,0.04867886979647812,0.667522533697342,0.7636094262450933,0.26190959318814555,0.5836198954470455
residual_v2,42,star_concave,0.07405588026971018,0.4906660688169299,0.6319145668298006,0.36475874150823784,0.538122720143199
residual_v2,43,polygonal_holes,0.05104042169410162,0.650124074410587,0.7199285919708199,0.2572393935601902,0.5470405107820464
residual_v2,43,star_concave,0.07610194547817171,0.49345365830146126,0.6250113802403212,0.3625803967341779,0.5298158329568803
residual_v2,44,polygonal_holes,0.05563044375907854,0.6712554145232779,0.7261220786720515,0.263108183405733,0.5560783932528691
residual_v2,44,star_concave,0.07967235490447096,0.5151850402748187,0.6427300066128373,0.3869857732094823,0.562457942442596
residual_v2,45,polygonal_holes,0.053032506843387575,0.7288551157978042,0.8057252227887511,0.3023743895202641,0.6477513985292055
residual_v2,45,star_concave,0.08714542891806731,0.5728674893680961,0.6959107484668493,0.43169869809970246,0.6118827986896037
residual_v2,46,polygonal_holes,0.055180031899188874,0.6881096598166428,0.7568629873543977,0.2695208279417128,0.5865154486743732
residual_v2,46,star_concave,0.08372492878921335,0.5324783008591542,0.6560446397587657,0.40094470881111904,0.5756389253214002
residual_v2,47,polygonal_holes,0.05562907046532542,0.7379778881827277,0.8040559874102473,0.30504970858580766,0.6469858210694044
residual_v2,47,star_concave,0.08780142198601477,0.5769525145522426,0.6958393788337708,0.442953012369573,0.6175784153997897
residual_v2,48,polygonal_holes,0.057391819497240856,0.703543903413113,0.7659249782934785,0.268736940386996,0.5877839674161747
residual_v2,48,star_concave,0.08328889572170806,0.5361102333079518,0.6693710894882678,0.4015698589906095,0.5839815664991737
residual_v2,49,polygonal_holes,0.05710656362337571,0.7099429558277001,0.7544555338448845,0.28986735930533314,0.5843417568524484
residual_v2,49,star_concave,0.07740550998655799,0.49896772241179826,0.6322379315644503,0.36966148200118903,0.5421772114358842
residual_v2,50,polygonal_holes,0.04799561593473433,0.6595266959195853,0.7543825479224324,0.2598473079319227,0.5773763602676801
residual_v2,50,star_concave,0.07787150735615778,0.5210712871055092,0.6561436902731657,0.39033937521651374,0.5652440654382108
residual_v2,51,polygonal_holes,0.05773356323019671,0.6998343012432189,0.7428227347880602,0.2674778051944594,0.579540119656641
residual_v2,51,star_concave,0.08008644493492299,0.511898161138079,0.6341937414929271,0.3836772311981766,0.5505821334354579
residual_v2,52,polygonal_holes,0.0512187903675233,0.6824636325288107,0.7692509529739618,0.2755726448831118,0.5932582526762037
residual_v2,52,star_concave,0.08287673010954874,0.5519688386765061,0.6800065126270056,0.41449156014248717,0.5895505393788217
residual_v2,53,polygonal_holes,0.05124295968462961,0.6675208838834112,0.7247956867516041,0.2673945478154636,0.5627999058437533
residual_v2,53,star_concave,0.07946342490286266,0.507659259023588,0.6280722634494305,0.37602125836675976,0.5402923108797519
residual_v2,54,polygonal_holes,0.05666994846443076,0.7442779901623569,0.8135512931272387,0.30993416490347575,0.6383161591957323
residual_v2,54,star_concave,0.08278171207906089,0.5491416071375744,0.6879914151132107,0.4197889550086109,0.5994148810140788
residual_v2,55,polygonal_holes,0.055955076183436335,0.6912897467010066,0.7588436798751355,0.2842089509547221,0.5850126347841694
residual_v2,55,star_concave,0.08621637670529951,0.5560969468839904,0.6676908788084984,0.4218051793230696,0.5892709551155567
residual_v2,56,polygonal_holes,0.05500438106778998,0.6898494406788219,0.7452851938456297,0.27180443822486255,0.5767959070518612
residual_v2,56,star_concave,0.0771301873676177,0.4893353732703418,0.611947254911065,0.3602186624286695,0.5254377329524605
residual_v2,57,polygonal_holes,0.05677503676701704,0.7037249951249658,0.7719620658457279,0.2845081948489468,0.5980992090724407
residual_v2,57,star_concave,0.08656944842770475,0.5506020355730752,0.6664169110357762,0.41693372802063805,0.5865404251903296
residual_v2,58,polygonal_holes,0.05938470001798266,0.6974349931104116,0.7316474417224527,0.27045409415045274,0.5648193493740632
residual_v2,58,star_concave,0.08169720618030904,0.5215897736455074,0.6513000087067485,0.39308056663628654,0.5682242811411619
residual_v2,59,polygonal_holes,0.054694848121537146,0.7039621504195259,0.76961645655334,0.29403449656758296,0.588603851249814
residual_v2,59,star_concave,0.08527131209601217,0.5456332224339108,0.6643048234656453,0.40336731345893334,0.5773260760325938
residual_v2,60,polygonal_holes,0.056085769214945846,0.736387352771173,0.7951772844418883,0.30101204095693523,0.6341313908345997
residual_v2,60,star_concave,0.08183240539568828,0.543114822468664,0.6742160949856043,0.41494284634478373,0.5953137454740702
